Current Activity,B04,,,,
Ability,6,,,,
Weight,15,,,,
EmotionNorm,0.5,,,,
EmotionCurrent,0.542,,,,
RateGood,0.0009,,,,
RateBad,0.00083,,,,
NonIndependentAct,B02;B04;A54;A176;A23;A62;A36,,,,
Property,Current,Rate,Habit,Effect,Custom
Hunger,425.1,850.2|24|0.5:0.25:0.125,06-09;12-15;18-21,"283.40;566,80",-
Dirty,2,10|24|0.3:0.15,03-06;15-18,8,-
Thirst,0,10|8|1:0.25,-,10:10;0:0;5:2.5,-
Energy,566.8,850.2|24|0.2:0.025,-,-,-
Exhausted,6,10|18|1:-0.5,-,-,-
Sleepy,6,10|15|0.05:-1,06-09;14-17|12-15;21-24,-,-
Defecate,9.58,-,09-12,-,850.2;9.58;39.08;0.7355
Urinate,185.5,60,-,212.5:77.5:00,8250;212.5;77.5
