Current Activity,B04,,,,
Ability,8,,,,
Weight,54,,,,
EmotionNorm,0.458,,,,
EmotionCurrent,0.534,,,,
RateGood,0.001041667,,,,
RateBad,0.000277778,,,,
NonIndependentAct,-,,,,
Property,Current,Rate,Habit,Effect,Custom
Hunger,1698.4,2547.6|24|0.5:0.25:0.125,06-09;12-15;18-21,849.2;1698.4,-
Dirty,4,10|24|0.3:0.15,06-09;15-18,8,-
Thirst,6,10|9|1:0.25,-,10:10;0:0;5:5,-
Energy,1698.4,2547.6|24|0.2:0.025,-,-,-
Exhausted,6,10|18|1:-0.5,-,-,-
Sleepy,4,10|12|0.05:-1,03-06|00-03,-,-
Defecate,9.58,-,06-09,-,1698.4;9.58;39.08;0.7355
Urinate,154.5,60,-,337.5:32.5,29700;337.5;32.5
