ID,Description,Repeat,Auto,Outdoor,BioActivity,Interrupt,Hunger,Dirty,Thirst,Energy,Exhausted,Sleepy,Defecate,Urinate,Emotion,Duration,Start,Priority,Physical_Std,Wish,Advantage,Authority,Obedience,Urgency,Routine,Prerequisite,InteractAgent,FollowerActivity,FollowMovement,Set,Next,Eliminate,Rooms,Door,LightThreshold,Status,Temperature,Device,PostActivity,Resource,InteractAgentStatus,UrgencyType,UrgencyValue,Effect
A02,Mengisi ulang daya gadget pagi,3,1,0,0,0;1,-1;582.253,0.25;9,1;9,-1;1630.3,1;5,1;5,3.908;31.264,30;54,-0.025;-0.05;0.125,3:00,4:00,0,2,8,10,1,10,10,1|1,-,-,-,0,-,-,-,RKG01|NONE,-|-,65;L1|-,5|-,-|-,-|-,-|-,-|-,-,0,0,Room:0:0.1;CH01:1:0.0088|Room:0:0.1;CH02:1:0.0148;CH03:1:0.0088
A103,Olahraga di rumah,1,0,0,0,1;0,-5.5;970.419,1;7,1.75;7,-5.5;465.8,1.5;8,1.5;7,0.977;27.356,7.5;42,0;0;0.625,1:00,5:00,4,6.5,6,6,1,5,2.5,30|-2,-,-,-,0,-,-,-,RTS01|NONE,R1|-,65;L1|-,5|-,-|-,-|-,R2|-,-|-,-,0,0,Room:0:0.1|-
A22,Memasak makan pagi dengan rice cooker,4,1,0,0,1;0,-2;1358.585,0.25;8,1;4,-2;1397.4,1;2,1;2,6.839;31.264,22.5;48,0;0;0.125,0:05,5:00,0,6.5,6,8,1.2,7.5,10,1|1,-,agen01;agen03;agen04;agen05,-,0,-,-,-,RDP02|NONE,-|-,65;L1|-,5|-,-|-,RCooker|-,-|-,RawFood:3;Water:5|-,Hunger;6,3,Hunger;1,Room:0:0.1;RawFood:0:-3;Water:0:-5;Food:4:5;DirtyUtensil:7:60|-
A24,Memasak makan pagi dengan kompor gas,2,0,0,0,1;0,-2.5;1358.585,0.25;8,1;4,-2.5;1397.4,1;2,1;2,5.862;31.264,15;48,0;0;0.125,0:40,5:00,0,6.5,8,10,1.2,10,7.5,1|1,A22,agen01;agen03;agen04;agen05,-,0,-,-,-,RDP01|RDP02,R1|-,65;L1|65;L1,5|5,-|-,Stove|Refrigerator,R2;D2|-,Gas:0;Water:10|RawFood:5,Hunger;6,3,Hunger;1,Room:0:0.1;Gas:11:-0.0048;Trash:0:0.2;Food:4:5|Room:0:0.1;RawFood:0:-5;Water:0:-8;Water:6:-0.043;DirtyUtensil:0:1
A131,Bersepeda,1,0,1,0,1;0,-4;970.419,1;7,1.75;7,-4;465.8,1.5;8,1.5;7,0.977;27.356,7.5;42,0;0;0.625,1:00,6:00,4,6.5,8,6,1,5,5,7|6;7,-,-,-,0,-,-,-,RGS02|NONE,R1|-,65;CC|-,3|-,-|-,-|-,R2|-,-|-,-,0,0,Room:0:0.1|-
P48,Mencari agen03 untuk jalan di sekitar rumah,1,0,1,0,1;0,-1.17;1358.585,0.25;5,1.75;5,-3.5;1397.4,1;3,1;6,5.862;19.54,15;30,0;0;0.625,0:03,6:00,4,5,8,6,1,5,5,7|6;7,-,agen03,-,0,S23-C,P02,-,-,-|-,-|-,-|-,-|-,-|-,-|-,-|-,-,0,0,Room:0:0.1|-
P02,Membawa agen03 untuk jalan di sekitar rumah,1,0,1,0,1;0,-1.17;1358.585,0.25;5,1.75;5,-3.5;1397.4,1;3,1;6,5.862;19.54,15;30,0;0;0.625,0:03,6:00,4,5,8,6,1,5,5,7|6;7,P48,agen03,P45,1,S23-C,A54,-,-,-|-,-|-,-|-,-|-,-|-,-|-,-|-,-,0,0,Room:0:0.1|-
A54,Pergi jalan ke sekitar rumah,1,0,1,0,1;0,-1.17;1358.585,0.25;5,1.75;5,-3.5;1397.4,1;3,1;6,5.862;19.54,15;30,0;0;0.625,1:00,6:00,4,5,8,6,1,5,5,7|6;7,P02,agen03,A54,1,S23-M,-,-,RGS01|NONE,R1|-,65;CC|-,5|-,-|-,-|-,R2|-,-|-,-,0,0,Room:0:0.1|-
A74,Mencuci piring dan alat masak pagi,2,0,0,0,0;1,-2.3;1552.668,0.25;8,1;2,-2.3;931.6,1;1,1;3,5.862;31.264,15;36,0;-0.025;0.25,0:25,6:00,0,4.5,8,8,1,10,10,7|6;7,A22;A24,-,-,0,-,-,-,RDP02|NONE,-|-,65;L1|-,4|-,-|-,Sink|-,D2|-,Water:0|-,-,5,DirtyUtensil,Room:0:0.1;DirtyUtensil:5:0;Water:11:-0.043|-
P06,Mengambil sampah pagi,1,0,0,0,1;0,-1;582.253,0;9,0.5;9,-1;1630.3,0.1;5,1;5,3.908;31.264,30;54,0;0;0.125,0:05,6:00,2,3,4,4,1.2,5,2.5,7|-3,-,-,-,0,S04-C,A27,-,RDP01|NONE,R1|-,65;L1|-,5|-,-|-,-|-,-|-,-|-,-,0,0,Room:0:0.1|-
