ID,Decription,Repeat,Auto,Outdoor,BioActivity,Interrupt,Hunger,Dirty,Thirst,Defecate,Urinate,Energy,Exhausted,Sleepy,Emotion,Duration,Start,Priority,Physical_Std,Wish,Advantage,Authority,Obedience,Urgency,Routine,Prerequisite,InteractAgent,Set,Next,Eliminate,Rooms,Door,LightThreshold,Status,Temperature,Device,PostActivity,Resource,InteractAgentStatus,UrgencyType,UrgencyValue,Effect
A103,Olahraga di rumah,1,0,0,0,0;1,-3.8;5,1.5;5,1.75;5,1;5,15;5,-3.8;6,1.75;3,1.75;6,0.05;-0.025;0.458,2:30,5:00,4,6.5,10,8,1,5,5,7|6;7,-,-,-,-,-,RKJ01|NONE,-|-,100;L1|-,1|-,-|-,-|-,L2|-,-|-,-,0,0,Room:0:0.1|-
A131,Bersepeda,1,0,1,0,0;1,-3.8;5,1.5;5,1.75;5,1;5,15;5,-3.8;6,1.75;3,1.75;6,0.05;-0.025;0.458,2:30,5:00,4,6.5,10,8,1,5,5,7|6;7,-,-,-,-,-,RGS01|NONE,R1|-,100;CC|-,1|-,-|-,-|-,R2|-,-|-,-,0,0,-|-
A129,Pergi ke luar kota,1,0,1,0,0;1,-2.3;5,1.75;5,1.75;5,1;5,30;5,-2.3;6,1.75;3,1.75;6,-0.0125;0;0.115,48:00,6:00,0,6.5,10,8,1,10,10,30|-2,-,-,-,-,-,RGS01|NONE,R1|-,-|-,1|-,-|-,-|-,R2|-,-|-,-,0,0,-|-
A01,Membereskan kasur & karpet tidur,1,0,0,0,1;0,-2;9,1;9,1;9,1;8,45;9,-2;7,1;3,1;3,0;0;0.515,0:10,6:00,0,2,4,6,1.2,7.5,7.5,1|1,-,-,-,-,-,RTU01|RTU02,R1|R1,100;L1|100;L1,0.4|0.4,-|-,Bed|Bed,R2;L2|R2;L2,-|-,-,8,-,Room:0:0.1|Room:0:0.1
A02,Mengisi ulang daya gadget,2,1,0,0,0;1,-1;9,1;9,1;9,1;8,60;9,-1;7,1;5,1;5,0;-0.025;0.115,2:00,6:00,0,2,8,8,0,0,7.5,1|1,-,-,-,-,-,RKG01|NONE,-|-,100;L1|-,1|-,-|-,-|-,-|-,-|-,-,0,0,Room:0:0.1;CH01:1:0.0088|Room:0:0.1;CH02:1:0.0148;CH03:1:0.0088
A05,Menyapu Ruang Tidur Utama 1,1,0,0,0,0;1,-3.3;9,1;9,1.25;9,1;8,15;9,-3.3;6,1;3,1.25;7,0;0;0.515,0:04,7:00,0,5.5,6,8,1.4,7.5,7.5,7|-5,-,-,S01-M,A06,-,RTU01|NONE,R1|-,100;L1|-,0.4|-,-|-,-|-,R2|-,-|-,-,8,-,Room:3:-0.5;Trash:0:0.1|-
A06,Menyapu Ruang Tidur Utama 2,1,0,0,0,0;1,-3.3;9,1;9,1.25;9,1;8,15;9,-3.3;6,1;3,1.25;7,0;0;0.515,0:05,7:04,0,5.5,6,8,1.4,7.5,7.5,7|-5,-,-,S01-M,A10,-,RTU02|NONE,R1|-,100;L1|-,0.4|-,-|-,-|-,R2|-,-|-,-,8,-,Room:3:-0.5;Trash:0:0.1|-
A10,Menyapu Dapur Bersih,1,0,0,0,0;1,-3.3;9,1;9,1.25;9,1;8,15;9,-3.3;6,1;3,1.25;7,0;0;0.515,0:03,7:09,0,5.5,6,8,1.4,7.5,7.5,7|-5,-,-,S01-M,A11,-,RDP02|NONE,-|-,100;L1|-,1|-,-|-,-|-,-|-,-|-,-,8,-,Room:3:-0.5;Trash:0:0.1|-
A11,Menyapu Ruang Keluarga,1,0,0,0,0;1,-3.3;9,1;9,1.25;9,1;8,15;9,-3.3;6,1;3,1.25;7,0;0;0.515,0:08,7:12,0,5.5,6,8,1.4,7.5,7.5,7|-5,-,-,S01-M,A12,-,RKG01|NONE,-|-,100;L1|-,1|-,-|-,-|-,-|-,-|-,-,8,-,Room:3:-0.5;Trash:0:0.1|-
A12,Menyapu Ruang Tamu,1,0,0,0,0;1,-3.3;9,1;9,1.25;9,1;8,15;9,-3.3;6,1;3,1.25;7,0;0;0.515,0:06,7:20,0,5.5,6,8,1.4,7.5,7.5,7|-5,-,-,S01-M,A14,-,RTM01|NONE,-|-,100;L1|-,1|-,-|-,-|-,-|-,-|-,-,8,-,Room:3:-0.5;Trash:0:0.1|-
A14,Mengepel Ruang Tidur Utama 1,1,0,0,0,0;1,-3.5;9,1;9,1.25;9,1;8,15;9,-3.5;6,1;3,1.25;7,0;0;0.515,0:04,7:26,0,5.5,6,8,1.4,7.5,7.5,7|-5,A05,-,S01-C,A15,-,RTU01|NONE,R1|-,100;L1|-,0.4|-,-|-,-|-,R2;L2|-,-|-,-,8,-,Room:3:-0.5;Water:0:-2|-
A15,Mengepel Ruang Tidur Utama 2,1,0,0,0,0;1,-3.5;9,1;9,1.25;9,1;8,15;9,-3.5;6,1;3,1.25;7,0;0;0.515,0:05,7:30,0,5.5,6,8,1.4,7.5,7.5,7|-5,A06,-,S01-C,A18,-,RTU02|NONE,R1|-,100;L1|-,0.4|-,-|-,-|-,R2;L2|-,-|-,-,8,-,Room:3:-0.5;Water:0:-2|-
A18,Mengepel Dapur Bersih,1,0,0,0,0;1,-3.5;9,1;9,1.25;9,1;8,15;9,-3.5;6,1;3,1.25;7,0;0;0.515,0:03,7:35,0,5.5,6,8,1.4,7.5,7.5,7|-5,A10,-,S01-C,A19,-,RDP02|NONE,-|-,100;L1|-,1|-,-|-,-|-,-|-,-|-,-,8,-,Room:3:-0.5;Water:0:-2|-
A19,Mengepel Ruang Keluarga,1,0,0,0,0;1,-3.5;9,1;9,1.25;9,1;8,15;9,-3.5;6,1;3,1.25;7,0;0;0.515,0:08,7:38,0,5.5,6,8,1.4,7.5,7.5,7|-5,A11,-,S01-C,A20,-,RKG01|NONE,-|-,100;L1|-,1|-,-|-,-|-,-|-,-|-,-,8,-,Room:3:-0.5;Water:0:-2|-
A20,Mengepel Ruang Tamu,1,0,0,0,0;1,-3.5;9,1;9,1.25;9,1;8,15;9,-3.5;6,1;3,1.25;7,0;0;0.515,0:06,7:46,0,5.5,6,8,1.4,7.5,7.5,7|-5,A12,-,S01-C,-,-,RTM01|NONE,-|-,100;L1|-,1|-,-|-,-|-,D2|-,-|-,-,8,-,Room:3:-0.5;Water:0:-2|-
A116,Mencari agen03,2,0,0,0,0;1,-1;9,0.1;9,0;9,1;8,60;9,-1;7,1;5,1;5,0;0;0,0:05,7:00,0,3,10,10,1.2,10,10,1|1,-,agen03,S02-C,A25,-,-,-|-,-|-,-|-,-|-,-|-,-|-,-|-,-,0,0,Room:0:0.1|-
A25,Membangunkan anak di pagi hari,2,0,0,0,0;1,-1;5,1;8,1;4,1;8,60;8,-1;6,1;2,1;2,0.025;-0.025;0.115,0:05,7:05,0,3,10,10,1.2,10,10,1|1,A116,agen03,S02-M,A26,-,RTU01|NONE,-|-,-|-,-|-,-|-,-|-,-|-,-|-,Sleepy;3,4,Sleepy;1,Room:0:0.1|-
A26,Membuat susu anak di pagi hari,1,0,0,0,0;1,-1;9,1;9,1;9,1;8,60;9,-1;5,1;3,1;7,0;-0.025;0.115,0:10,7:00,0,5,8,8,1.2,10,10,1|1,A25,-,S03-M,A116,-,RDP02|NONE,-|-,100;L1|-,1|-,-|-,Stove|-,D2|-,Gas:0;DrinkWater:150|-,-,4,Thirsty;0.8,Room:0:0.1;Gas:1:-0.0048;DrinkWater:0:-150:|-
A116,Mencari agen03,1,0,0,0,0;1,-1;9,0.1;9,0;9,1;8,60;9,-1;7,1;5,1;5,0;0;0,0:05,7:10,0,3,8,8,1.2,10,10,1|1,A26,agen03,S03-C,-,-,-,-|-,-|-,-|-,-|-,-|-,-|-,-|-,Thirsty;8,0,0,Room:0:0.1|-
A115,Mengambil sampah,1,0,0,0,1;0,-1;9,0.1;9,0;9,1;8,60;9,-1;7,1;5,1;5,0;0;0,0:05,7:00,2,3,4,4,1.2,5,2.5,7|-3,-,-,S04-C,A27,-,RDP01|NONE,R1|-,100;L1|-,1|-,-|-,-|-,-|-,-|-,-,0,0,Room:0:0.1|-
A27,Membuang sampah,1,0,0,0,1;0,-3;9,1;9,1.25;9,1;8,30;9,-3;6,1;3,1;7,0;0;0.458,0:05,7:05,2,5.5,4,4,1.2,5,2.5,7|-3,A115,-,S04-M,-,-,RHD01|NONE,R1|-,100;L1|-,1|-,-|-,TrashCan|-,R2|-,Trash:0|-,-,5,Trash,Room:0:0.1;Trash:5:0|-
A29,Memasak air untuk mandi di pagi hari,1,1,0,0,0;1,-2.5;9,1;9,1;9,1;8,30;9,-2.5;7,1;5,1;5,0;0;0.115,0:10,7:00,0,5,8,8,1,10,7.5,1|1,-,-,S05-M,A120,-,RDP01|RDP02,R1|-,100;L1|100;L1,1|1,-|-,Stove|-,D2|-,Gas:0;|Water:5000,-,4,Dirty;1,Room:0:0.1;Gas:1:-0.0048|Water:6:-5000
A120,Menyiapkan air mandi,1,0,0,0,0;1,-1;9,0.1;9,0;9,1;8,60;9,-1;7,1;5,1;5,0;0;0,0:05,7:10,0,5,8,8,1,10,7.5,1|1,A29,-,S05-C,A116,-,RKM01|NONE,CC|-,100;L1|-,0|-,-|-,-|-,D2|-,Water:40000|-,-,0,0,Room:0:0.1;Water:6:-40000|-
A116,Mencari agen03,1,0,0,0,0;1,-1;9,0.1;9,0;9,1;8,60;9,-1;7,1;5,1;5,0;0;0,0:05,7:15,0,3,8,8,1.2,7.5,7.5,7|6;7,A120,agen03,S05-C,A117,-,-,-|-,-|-,-|-,-|-,-|-,-|-,-|-,-,0,0,Room:0:0.1|-
A117,Membawa agen03,1,0,0,0,0;1,-1;9,0.1;9,0;9,1;8,60;9,-1;7,1;5,1;5,0;0;0,0:05,7:20,0,3,8,8,1.2,7.5,7.5,7|6;7,A116,agen03,S05-C,A30,-,-,-|-,-|-,-|-,-|-,-|-,-|-,-|-,-,0,0,Room:0:0.1|-
A30,Memandikan anak pagi hari,1,0,0,0,0;1,-2.5;9,1;9,1;9,1;8,30;9,-2.5;4,1;3,1;7,0;0;0.229,0:20,7:25,0,6.5,8,8,1.2,7.5,7.5,7|6;7,A117,agen03,S05-M,-,-,RKM01|NONE,CC|-,100;L1|-,0|-,-|-,-|-,R2;L2;D2|-,Water:5000|-,Dirty;8,4,Dirty;0.5,Room:0:0.1;Water:6:-0.2|-
A116,Mencari agen03,3,0,0,0,0;1,-1;9,0.1;9,0;9,1;8,60;9,-1;7,1;5,1;5,0;0;0,0:05,8:00,0,3,5,8,0,0,5,1|1,-,agen03,S06-C,A35,-,-,-|-,-|-,-|-,-|-,-|-,-|-,-|-,-,6,-,Room:0:0.1|-
A35,Bermain dengan anak di pagi hari,2,0,0,0,0;1,-2.5;6,1;6,1.5;4,1;8,30;8,-2.5;3,1.25;2,1.5;2,0.05;-0.025;0.229,4:30,8:05,0,3,10,10,1,7.5,10,1|1,A116,agen03,S06-M,-,-,RTM01|RKG01,-|-,100;L1|100;L1,-|-,-|27,-|-,-|-,-|-,-,6,-,Room:0:0.5|Room:0:0.5
