ID,Decription,Repeat,Auto,Outdoor,BioActivity,Interrupt,Hunger,Dirty,Thirst,Defecate,Urinate,Energy,Exhausted,Sleepy,Emotion,Duration,Start,Priority,Physical_Std,Wish,Advantage,Authority,Obedience,Urgency,Routine,Prerequisite,InteractAgent,Set,Next,Eliminate,Rooms,Door,LightThreshold,Status,Temperature,Device,PostActivity,Resource,InteractAgentStatus,UrgencyType,UrgencyValue,Effect
A02,Mengisi ulang daya gadget pagi,3,1,0,0,0;1,-1;9,0.25;9,1;9,1;8,30;9,-1;7,1;5,1;5,-0.025;-0.05;0.125,3:00,4:00,0,2,8,10,1,10,10,1|1,-,-,-,-,-,RKG01|NONE,-|-,100;L1|-,1|-,-|-,-|-,-|-,-|-,-,0,0,Room:0:0.1;CH01:1:0.0088|Room:0:0.1;CH02:1:0.0148;CH03:1:0.0088
A103,Olahraga di rumah,1,0,0,0,1;0,-5.5;7,1;7,1.75;7,0.25;7,7.5;7,-5.5;2,1.5;8,1.5;7,0;0;0.625,1:00,5:00,4,6.5,6,6,1,5,2.5,30|-2,-,-,-,-,-,RTS01|NONE,R1|-,100;L1|-,1|-,-|-,-|-,R2|-,-|-,-,0,0,Room:0:0.1|-
A22,Memasak makan pagi dengan rice cooker,4,1,0,0,1;0,-2;5,0.25;8,1;4,1.75;8,22.5;8,-2;6,1;2,1;2,0;0;0.125,0:05,5:00,0,6.5,6,8,1.2,7.5,10,1|1,-,-,-,-,-,RDP02|NONE,-|-,100;L1|-,1|-,-|-,-|-,-|-,RawFood:3;Water:5000|-,-,3,Hunger;1,Room:0:0.1;RawFood:0:-3;Water:0:-5000;Food:4:5;DirtyUtensil:7:60;Rcooker:1:0.3179|-
A24,Memasak makan pagi dengan kompor gas,2,0,0,0,1;0,-2.5;5,0.25;8,1;4,1.5;8,15;8,-2.5;6,1;2,1;2,0;0;0.125,0:40,5:00,0,6.5,8,10,1.2,10,7.5,1|1,A22,-,-,-,-,RDP01|RDP02,R1|-,100;L1|100;L1,1|1,-|-,Stove|Refrigreator,R2;D2|-,Gas:0;Water:10000|Rawfood:5,-,3,Hunger;1,Room:0:0.1;Gas:5:-0.0048;Water:0:-10000;DirtyUtensil:4:1;Trash:0:0.2|Room:0:0.1;Rawfood:0:-6;Food:4:5
A141,Bersepeda,1,0,1,0,1;0,-4;7,1;7,1.75;7,0.25;7,7.5;7,-4;2,1.5;8,1.5;7,0;0;0.625,1:00,6:00,4,6.5,8,6,1,5,5,7|6;7,-,-,-,-,-,RGS01|NONE,R1|-,100;CC|-,0.6|-,-|-,-|-,R2|-,-|-,-,0,0,-|-
A54,Pergi jalan ke sekitar rumah,1,0,1,0,1;0,-3.5;5,0.25;5,1.75;5,1.5;5,15;5,-3.5;6,1;3,1;6,0;0;0.625,1:00,6:00,4,5,8,6,1,5,5,7|6;7,-,-,-,-,-,RGS01|NONE,R1|-,100;CC|-,1|-,-|-,-|-,R2|-,-|-,agen01;agen03,0,0,-|-
A74,Mencuci piring dan alat masak pagi,2,0,0,0,0;1,-2.3;4,0.25;8,1;2,1.5;8,15;6,-2.3;4,1;1,1;3,0;-0.025;0.25,0:25,6:00,0,4.5,8,8,1,10,10,7|6;7,A22;A24,-,-,-,-,RDP02|NONE,-|-,100;L1|-,0.8|-,-|-,Sink|-,D2|-,Water:0|-,-,5,DirtyUtensil,Room:0:0.1;DirtyUtensil:5:0;Water:6:0.043|-
P06,Mengambil sampah,1,0,0,0,1;0,-1;9,0;9,0.5;9,1;8,30;9,-1;7,0.1;5,;5,0;0;0.125,0:05,6:00,2,3,4,4,1.2,5,2.5,7|-3,-,-,S04-C,A27,-,RDP01|NONE,R1|-,100;L1|-,1|-,-|-,-|-,-|-,-|-,-,0,0,Room:0:0.1|-
A27,Membuang sampah,1,0,0,0,1;0,-3;9,0.25;9,1.25;9,1.5;8,15;9,-3;6,1;3,1;7,0;0;0.125,0:05,6:05,1,5.5,4,4,1.2,5,5,1|1,P06,-,S04-M,-,-,RHD01|NONE,R1|-,100;CC|-,1|-,-|-,TrashCan|-,R2|-,Trash:0|-,-,5,Trash,Room:0:0.1;Trash:5:0|-
A33,Bekerja di luar rumah,3,0,1,0,0;1,-2.3;5,1;5,1.75;5,1.5;5,15;5,-2.3;6,1.75;3,1.5;6,0;0;0.125,8:00,6:00,0,6.5,6,8,1,10,10,1|1,-,-,-,-,-,RGS01|NONE,R1|-,100;CC|-,1|-,-|-,-|-,R2|-,-|-,-,0,0,Room:0:0.1|-
P01,Mencari agen03 bangun pagi,2,0,0,0,0;1,-1;9,0;9,0.5;9,1;8,30;9,-1;7,0.1;5,0;5,-0.025;0;0.25,0:05,7:00,0,3,10,10,1.2,10,10,1|1,-,agen03,S02-C,A25,-,-,-|-,-|-,-|-,-|-,-|-,-|-,-|-,agen03,0,0,Room:0:0.1|-
A25,Membangunkan agen03 di pagi hari,3,0,0,0,0;1,-1;5,0.25;8,1;4,1;8,30;8,-1;6,1;2,1;2,-0.025;0;0.25,0:05,7:05,0,3,6,6,1,2.5,5,7|6;7,P01,agen03,S02-M,-,-,RTU01|NONE,R1|-,-|-,1|-,-|-,-|-,R2;L2;E2|-,-|-,agen03,4,Sleepy;1,Room:0:0.1|-
