ID,Decription,Repeat,Auto,Outdoor,BioActivity,Interrupt,Hunger,Dirty,Thirst,Defecate,Urinate,Energy,Exhausted,Sleepy,Emotion,Duration,Start,Priority,Physical_Std,Wish,Advantage,Authority,Obedience,Urgency,Routine,Prerequisite,InteractAgent,Set,Next,Eliminate,Rooms,Door,LightThreshold,Status,Temperature,Device,PostActivity,Resource,InteractAgentStatus,UrgencyType,UrgencyValue,Effect
A131,Bersepeda,1,0,1,0,1;0,-4;7,1;7,1.75;7,0.25;7,7.5;7,-4;2,1.5;8,1.5;7,0;0;0.625,1:00,6:00,4,6.5,8,6,1,5,5,7|6;7,-,-,-,-,-,RGS01|NONE,R1|-,100;CC|-,1|1,-|-,-|-,R2|-,-|-,-,0,0,-|-
A54,Pergi jalan ke sekitar rumah,1,0,1,0,1;0,-3.5;5,0.25;5,1.75;5,1.5;5,15;5,-3.5;6,1;3,1;6,0;0;0.625,1:00,12:00,4,5,8,6,1,5,5,7|6;7,-,agen01,-,-,-,RGS01|NONE,R1|-,100;CC|-,1|1,-|-,-|-,R2|-,-|-,agen01;agen03,0,0,-|-
A156,Bermain dengan agen01 di pagi hari,2,0,0,0,0;1,-2.5;6,1;6,1.5;4,1;8,30;8,-2.5;3,1.25;2,1.5;2,0.05;-0.025;0.229,4:30,8:05,0,3,10,10,1,7.5,10,1|1,-,agen01,S06-M,-,-,RTM01|RKG01,-|-,100;L1|100;L1,1|1,-|27,-|-,-|-,-|-,agen03,0,0,Room:0:0.5|Room:0:0.5
P13,Mengikuti agen01/02 untuk mandi pagi,1,0,0,0,0;1,-1;9,0;9,0.5;9,1;8,30;9,-1;7,0.1;5,0.1;5,0;0;0.125,0:05,8:20,0,3,8,8,1.2,7.5,7.5,7|6;7,-,agen01;agen02,S05-C,B07,-,-,-|-,-|-,1|1,-|-,-|-,-|-,-|-,agen03,0,0,Room:0:0.1|-
A77,Bersantai pagi,1,0,0,0,1;0,-1;4,0.25;8,1;2,1;8,30;6,-1;3,1;1,1.5;3,0.05;-0.0250.125,3:00,10:00,0,2,8,6,1,5,5,7|6;7,-,-,-,-,-,RKG01|RTU01,-|R1,100;L1|100;L1,1|1,27|27,Sofa|Bed,L2;E2|R2;L2;E2,-|-,-,1,Exhausted,Room:0:0.1|Room:0:0.1;Fan:1:0
A66,Menonton TV malam,2,0,0,0,1;0,-1;4,0.25;8,1;2,1;8,30;6,-1;6,1;1,1.5;3,0.025;-0.025;0.25,6:00,17:00,0,2.5,6,6,1,5,5,1|1,-,-,-,-,-,RKG01|NONE,-|-,100;L1|-,1|1,27|-,Sofa|-,L2;E2|-,-|-,-,0,0,Room:0:0.1;TV:1:0.029|-
A36,Pergi jalan ke luar rumah di akhir pekan,1,0,1,0,1;0,-3.5;5,0.25;5,1.75;5,1.5;5,15;5,-3.5;6,1.25;3,1;6,0.05;-0.025;0.5,2:00,18:00,4,5,10,6,1,5,5,7|6;7,-,agen01;agen02,-,-,-,RGS01|NONE,R1|-,100;L1|-,1|1,-|-,-|-,R2|-,-|-,agen01;agen03,0,0,Room:0:0.1|-
P14,Mengikuti agen01/02 makan malam,2,0,0,0,0;1,-1;9,0;9,0.5;9,1;8,30;9,-1;7,0.1;5,0.1;5,0;0;0.5,0:05,18:05,0,3,5,8,0,0,5,1|1,-,agen01;agen02,S08-C,P15,-,RKG01|NONE,-|-,100;L1|-,1|1,-|-,-|-,-|-,-|-,agen03,0,0,Room:0:0.1|-
P15,Menunggu agen01/02 mengambil makan malam,2,0,0,0,0;1,-1;9,0;9,0.5;9,1;8,30;9,-1;7,0.1;5,0.1;5,0;0;0.5,0:05,18:10,0,3,5,8,0,0,5,1|1,-,-,S08-C,B02,-,RDP02|NONE,-|-,100;L1|-,1|1,-|-,-|-,-|-,Food:2|-,-,0,0,Room:0:0.1;Food:0:-2|-
A142,Bersantai malam,2,0,0,0,0;1,-1;4,0.25;8,1;2,1;8,30;6,-1;3,1;1,1.5;3,0.05;-0.025;0.125,3:00,18:00,0,2,8,8,1,5,2.5,1|1,-,-,-,-,-,RKG01|RTU01,-|R1,100;L1|100;L1,1|1,27|27,Sofa|Bed,L2;E2|L2;R2;E2,-|-,-,1,Exhausted,Room:0:0.1;Fan:1:0|Room:0:0.1;Fan:1:0
