ID,Decription,Repeat,Auto,Outdoor,BioActivity,Interrupt,Hunger,Dirty,Thirst,Defecate,Urinate,Energy,Exhausted,Sleepy,Emotion,Duration,Start,Priority,Physical_Std,Wish,Advantage,Authority,Obedience,Urgency,Routine,Prerequisite,InteractAgent,Set,Next,Eliminate,Rooms,Door,LightThreshold,Status,Temperature,Device,PostActivity,Resource,InteractAgentStatus,UrgencyType,UrgencyValue,Effect
A103,Olahraga di rumah,1,0,0,0,0;1,-3.8;1545.54,1.5;5,1.75;5,3.908;19.54,7.5;30,-3.8;1589.7,1.75;3,1.75;6,0.05;-0.025;0.458,2:30,5:00,4,6.5,10,8,1,5,5,7|6;7,-,-,-,-,-,RKJ01|NONE,-|-,100;L1|-,5|-,-|-,-|-,L2|-,-|-,-,0,0,Room:0:0.1|-
A140,Bersepeda,1,0,1,0,0;1,-3.8;1545.54,1.5;5,1.75;5,3.908;19.54,7.5;30,-3.8;1589.7,1.75;3,1.75;6,0.05;-0.025;0.458,2:30,5:00,4,6.5,10,8,1,5,5,7|6;7,-,-,-,-,-,RGS01|NONE,R1|-,100;CC|-,5|-,-|-,-|-,R2|-,-|-,-,0,0,-|-
A129,Pergi ke luar kota,1,0,1,0,0;1,-2.3;1545.54,1.75;5,1.75;5,3.908;19.54,15;30,-2.3;1589.7,1.75;3,1.75;6,-0.0125;0;0.115,48:00,6:00,0,6.5,10,8,1,10,10,30|-2,-,-,-,-,-,RGS01|NONE,R1|-,-|-,5|-,-|-,-|-,R2|-,-|-,-,0,0,-|-
A01,Membereskan kasur & karpet tidur,1,0,0,0,1;0,-2;662.372,1;9,1;9,3.908;31.264,22.5;54,-2;1854.65,1;3,1;3,0;0;0.515,0:10,6:00,0,2,4,6,1.2,7.5,7.5,1|1,-,-,-,-,-,RTU01|RTU02,R1|R1,100;L1|100;L1,2|2,-|-,Bed|Bed,R2;L2|R2;L2,-|-,-,8,-,Room:0:0.1|Room:0:0.1
A02,Mengisi ulang daya gadget pagi,2,1,0,0,0;1,-1;662.372,1;9,1;9,3.908;31.264,30;54,-1;1854.65,1;5,1;5,0;-0.025;0.115,2:00,6:00,0,2,8,8,0,0,7.5,1|1,-,-,-,-,-,RKG01|NONE,-|-,100;L1|-,5|-,-|-,-|-,-|-,-|-,-,0,0,Room:0:0.1;CH01:1:0.0088|Room:0:0.1;CH02:1:0.0148;CH03:1:0.0088
A05,Menyapu Ruang Tidur Utama 1 pagi,1,0,0,0,0;1,-3.3;662.372,1;9,1.25;9,3.908;31.264,7.5;54,-3.3;1589.7,1;3,1.25;7,0;0;0.515,0:04,7:00,0,5.5,6,8,1.6,7.5,7.5,7|-5,-,-,S01-M,A06,-,RTU01|NONE,R1|-,100;L1|-,2|-,-|-,-|-,R2|-,-|-,-,8,-,Room:3:-0.5;Trash:0:0.1|-
A06,Menyapu Ruang Tidur Utama 2 pagi,1,0,0,0,0;1,-3.3;662.372,1;9,1.25;9,3.908;31.264,7.5;54,-3.3;1589.7,1;3,1.25;7,0;0;0.515,0:05,7:04,0,5.5,6,8,1.6,7.5,7.5,7|-5,-,-,S01-M,A10,-,RTU02|NONE,R1|-,100;L1|-,2|-,-|-,-|-,R2|-,-|-,-,8,-,Room:3:-0.5;Trash:0:0.1|-
A10,Menyapu Dapur Bersih pagi,1,0,0,0,0;1,-3.3;662.372,1;9,1.25;9,3.908;31.264,7.5;54,-3.3;1589.7,1;3,1.25;7,0;0;0.515,0:03,7:09,0,5.5,6,8,1.6,7.5,7.5,7|-5,-,-,S01-M,A11,-,RDP02|NONE,-|-,100;L1|-,5|-,-|-,-|-,-|-,-|-,-,8,-,Room:3:-0.5;Trash:0:0.1|-
A11,Menyapu Ruang Keluarga pagi,1,0,0,0,0;1,-3.3;662.372,1;9,1.25;9,3.908;31.264,7.5;54,-3.3;1589.7,1;3,1.25;7,0;0;0.515,0:08,7:12,0,5.5,6,8,1.6,7.5,7.5,7|-5,-,-,S01-M,A12,-,RKG01|NONE,-|-,100;L1|-,5|-,-|-,-|-,-|-,-|-,-,8,-,Room:3:-0.5;Trash:0:0.1|-
A12,Menyapu Ruang Tamu pagi,1,0,0,0,0;1,-3.3;662.372,1;9,1.25;9,3.908;31.264,7.5;54,-3.3;1589.7,1;3,1.25;7,0;0;0.515,0:06,7:20,0,5.5,6,8,1.6,7.5,7.5,7|-5,-,-,S01-M,A14,-,RTM01|NONE,-|-,100;L1|-,5|-,-|-,-|-,-|-,-|-,-,8,-,Room:3:-0.5;Trash:0:0.1|-
A14,Mengepel Ruang Tidur Utama 1 pagi,1,0,0,0,0;1,-3.5;662.372,1;9,1.25;9,3.908;31.264,7.5;54,-3.5;1589.7,1;3,1.25;7,0;0;0.515,0:04,7:26,0,5.5,6,8,1.6,7.5,7.5,7|-5,A05,-,S01-M,A15,-,RTU01|NONE,R1|-,100;L1|-,2|-,-|-,-|-,R2;L2|-,-|-,-,8,-,Room:3:-0.5;Water:0:-2|-
A15,Mengepel Ruang Tidur Utama 2 pagi,1,0,0,0,0;1,-3.5;662.372,1;9,1.25;9,3.908;31.264,7.5;54,-3.5;1589.7,1;3,1.25;7,0;0;0.515,0:05,7:30,0,5.5,6,8,1.6,7.5,7.5,7|-5,A06,-,S01-M,A18,-,RTU02|NONE,R1|-,100;L1|-,2|-,-|-,-|-,R2;L2|-,-|-,-,8,-,Room:3:-0.5;Water:0:-2|-
A18,Mengepel Dapur Bersih pagi,1,0,0,0,0;1,-3.5;662.372,1;9,1.25;9,3.908;31.264,7.5;54,-3.5;1589.7,1;3,1.25;7,0;0;0.515,0:03,7:35,0,5.5,6,8,1.6,7.5,7.5,7|-5,A10,-,S01-M,A19,-,RDP02|NONE,-|-,100;L1|-,5|-,-|-,-|-,-|-,-|-,-,8,-,Room:3:-0.5;Water:0:-2|-
