ID,Description,Repeat,Auto,Outdoor,BioActivity,Interrupt,Hunger,Dirty,Thirst,Defecate,Urinate,Energy,Exhausted,Sleepy,Emotion,Duration,Start,Priority,Physical_Std,Wish,Advantage,Authority,Obedience,Urgency,Routine,Prerequisite,InteractAgent,FollowerActivity,FollowMovement,Set,Next,Eliminate,Rooms,Door,LightThreshold,Status,Temperature,Device,PostActivity,Resource,InteractAgentStatus,UrgencyType,UrgencyValue,Effect
P28,Wudhu1,5,0,0,0,0;1,-1;735.9,0.25;9,1;9,1.3098;50.296,30;247.5,-1;1766.16,1.25;3,1;7,0.5;-0.25;0.334,0:05,4:00,0,2,10,10,1,10,10,1|1,-,-,-,0,S10-C,A82,-,RDP01|NONE,-|-,50;L1|-,-|-,-|-,Faucet|-,L2;D2|-,Water:0|-,-,0,0,Room:0:0.1;Water:11:-0.089;Water:11:-0.086|-
A82,Ibadah 1,5,0,0,0,0;1,-1;735.9,0.25;9,1;9,1.3098;50.296,30;247.5,-1;1766.16,1.25;3,1;7,0.5;-0.25;0.334,0:15,4:05,0,2,10,10,1,10,10,1|1,P28,-,-,0,S10-M,-,-,RTU01|NONE,R1|-,50;L1|-,0.17|-,-|-,-|-,-|-,-|-,-,0,0,Room:0:0.1|-
A46,Menonton TV pagi,3,0,0,0,0;1,-1;1962.4,0.25;9,1;2,1.3098;50.296,30;165,-1;1766.16,1.25;1,1.25;3,0.25;-0.25;0.667,3:00,6:00,0,2.5,10,10,1,10,10,1|1,-,-,-,0,-,-,-,RKG01|RTU01,-|R1,50;L1|50;L1,-|-,-|19,Sofa|Sofa,E2|E2,-|-,-,0,0,Room:0:0.1;TV01:1:0.509|Room:0:0.1;TV02:1:0.19
A122,Makan bersama keluarga pagi,5,0,0,0,0;1,-1.5;735.9,0.25;9,1;9,1.3098;50.296,30;247.5,-1.5;1766.16,1;3,1;7,0.25;-0.25;0.334,0:30,7:00,0,3,10,10,1,10,10,1|1,A119,agen02;agen03;agen04;agen06,-,0,-,-,A158,RMK01|NONE,-|-,50;L1|-,-|-,-|-,Chair|-,L2;D2|-,Food:10|-,Hunger;7,3,Hunger;1.2,Room:0:0.1;Water:11:-0.083;Water:0:-2;Food:0:-2;DirtyUtensil:0:1|-
A129,Pergi ke luar kota,5,0,1,0,0;1,-2.3;1717.1,1;5,1.5;5,1.3098;31.435,30;137.5,-2.3;1766.16,1.75;3,1;6,0.25;-0.25;0.334,72:00,7:00,0,6.5,10,10,1,10,10,30|-3,-,-,-,0,-,-,-,RGS01|NONE,R1|-,-|-,-|-,-|-,-|-,-|-,-|-,-,0,0,Room:0:0.1|-
A76,Membaca pagi,1,0,0,0,1;0,-1.4;1962.4,0.25;9,1;2,1.3098;50.296,30;165,-1.3;883.08,1;1,1;3,0.25;-0.25;0.667,0:40,7:00,0,4,8,8,1,10,7.5,1|1,-,-,-,0,-,-,-,RKG01|NONE,-|-,50;L1|-,-|-,-|-,Sofa|-,L2|-,-|-,-,0,0,Room:0:0.1|-
A158,Pergi makan pagi di luar rumah,1,0,1,0,1;0,-2.3;1717.1,1;5,1;5,1.3098;31.435,15;137.5,-2.3;1766.16,1;3,1;6,0.25;-0.25;0.667,2:00,8:00,3,5,10,8,0.8,10,7.5,7|6;7,-,-,-,0,-,-,A122,RGS01|NONE,R1|-,-|-,-|-,-|-,-|-,-|-,-|-,-,1,Hunger,Room:0:0.1|-
A35,Mengambil galon air RO,1,0,0,0,1;0,-2.3;981.2,0.25;9,1;8,1.3098;50.296,30;220,-2.3;1766.16,1;5,1;5,0;0;0.334,0:05,8:00,0,6.5,6,10,0.8,10,7.5,7|-3,-,-,-,0,S28-C,A168,-,RDP02|-,-|-,15;L1|-,-|-,-|-,WFilter|-,L2|-,DrinkWater:19|-,-,5,DrinkWater,Room:0:0.1;DrinkWater:0:-19;DrinkWater:4:15|-
A168,Mengganti galon air RO,1,0,0,0,1;0,-2.3;981.2,0.25;9,1;8,1.3098;50.296,30;220,-2.3;1766.16,1;5,1;5,0;0;0.334,0:05,8:00,0,6.5,6,10,0.8,10,7.5,7|-3,A35,-,-,0,S28-M,-,-,RST02|-,-|-,15;L1|-,-|-,-|-,Dispenser|-,L2;E1|-,-|-,-,9,DrinkWater,Room:0:0.1;DrinkWater:0:19|-
A33,Bekerja di luar rumah,5,0,1,0,0;1,-2.3;1717.1,1;5,1.5;5,1.3098;50.296,15;247.5,-2.3;1766.16,1.75;3,1;6,0.5;-0.25;0.334,8:00,8:00,0,6.5,7,10,1,10,10,7|1;2;3;4;5,-,-,-,0,-,-,-,RGS01|NONE,R1|-,-|-,-|-,-|-,-|-,-|-,-|-,-,0,0,Room:0:0.1|-
