Current Activity,B04,,,,
Ability,8,,,,
Weight,90,,,,
EmotionNorm,0.667,,,,
EmotionCurrent,0.778,,,,
RateGood,0.000451389,,,,
RateBad,0.000231481,,,,
Property,Current,Rate,Habit,Effect,Custom
Hunger,2820.4,3384.5|24|0.125:0.25:0.1,06-09;12-15;18-21,564.08;1128.16,-
Dirty,0,10|24|0.3:0.15,06-09;15-18,8,-
Thirst,2,10|3|1:0.25,-,8:8;10:10;10:4,-
Energy,2256.32,3384.48|24|0.2:0.025,-,-,-
Exhausted,4,10|12|1:-0.5,-,-,-
Sleepy,4,10|12|0.25:-1,03-06|18-21,-,-
Defecate,7.71,-,9-Jun,-,564.08;7.71;62.87;0.7355
Urinate,55,60,-,275;55,49500;275;55
