ID,Description,Repeat,Auto,Outdoor,BioActivity,Interrupt,Hunger,Dirty,Thirst,Defecate,Urinate,Energy,Exhausted,Sleepy,Emotion,Duration,Start,Priority,Physical_Std,Wish,Advantage,Authority,Obedience,Urgency,Routine,Prerequisite,InteractAgent,FollowerActivity,FollowerMovement,Set,Next,Eliminate,Rooms,Door,LightThreshold,Status,Temperature,Device,PostActivity,Resource,InteractAgentStatus,UrgencyType,UrgencyValue,Effect
A22,Memasak makan pagi dengan rice cooker,5,1,0,0,0;1,-2;1258.475,0.25;8,1;4,1.3098;50.296,11.25;270,-2;1294.428,1;2,1;2,0.5;0;-0.104,6:00,7:00,0,6.5,10,10,1.5,10,10,7|1;2;3;4;5,-,-,-,0,-,A24,-,RSL01|NONE,-|-,15;L1|-,1.67|-,-|-,RCooker|-,-|-,Water:12;RawFood:4|-,Hunger;6,3,Hunger;1.2,Room:0:0.1;Water:0:-12;RC02:1:0.4;RawFood:0:-3;Food:4:6|-
A74,Mencuci piring dan alat masak pagi,5,0,0,0,1;0,-2.3;1438.256,0.25;8,1.5;2,1.3098;50.296,7.5;202.5,-2.3;862.952,1;1,1;3,0.5;0;-0.104,0:20,7:00,0,4.5,10,10,1.5,10,10,7|1;2;3;4;5,-,-,,,-,-,-,RDP02|NONE,-|-,15;L1|-,-|-,-|-,Sink|-,L2;D2|-,Water:0;DirtyUtensil:0|-,-,5,DirtyUtensil,Room:0:0.1;DirtyUtensil:5:0;Water:11:-0.055|-
A37,Membersihkan KM Dalam,2,0,0,0,1;0,-3.8;1438.256,0.25;8,1.5;3,1.3098;50.296,3.75;337.5,-3.8;1294.428,1.25;3,1;3,0.5;0;-0.104,0:15,7:00,0,5.5,10,10,1.5,10,10,30|-4,-,-,,,-,-,-,RKM02|NONE,-|-,15;L1|-,-|-,-|-,-|-,D2|-,Water:0|-,-,8,-,Room:5:0;Water:11:-0.018;Water:11:-0.066;Water:11:-0.08;Water:0:-20|-
A38,Membersihkan KM Luar,2,0,0,0,1;0,-3.8;1438.256,0.25;8,1.5;3,1.3098;50.296,3.75;337.5,-3.8;1294.428,1.25;3,1;3,0.5;0;-0.104,0:15,7:15,0,5.5,10,10,1.5,10,10,30|-4,-,-,,,-,-,-,RKM01|NONE,-|-,15;L1|-,-|-,-|-,-|-,D2|-,Water:0|-,-,8,-,Room:5:0;Water:11:-0.017;Water:11:-0.066;Water:11:-0.087;Water:0:-20|-
A05,Menyapu Ruang Tidur Utama 1 pagi,3,0,0,0,1;0,-3.3;539.351,0.25;8,1.5;9,1.3098;50.296,3.75;303.75,-3.3;1294.428,1.25;3,1;7,0.5;0;-0.104,0:06,7:00,0,5.5,10,10,1.5,10,10,7|1;2;3;4;5,-,-,,,S01-M,A83,-,RTU01|NONE,R1|-,15;L1|-,-|-,-|-,-|-,L2;R2|-,-|-,-,8,-,Room:0:-1|-
A83,Menyapu Ruang Tidur Anak 1 pagi,3,0,0,0,1;0,-3.3;539.351,0.25;8,1.5;9,1.3098;50.296,3.75;303.75,-3.3;1294.428,1.25;3,1;7,0.5;0;-0.104,0:06,7:06,0,5.5,10,10,1.5,10,10,7|1;2;3;4;5,-,-,,,S01-M,A84,-,RTA01|NONE,R1|-,15;L1|-,-|-,-|-,-|-,L2;R2|-,-|-,-,8,-,Room:0:-1|-
A84,Menyapu Ruang Tidur Anak 2 pagi,3,0,0,0,1;0,-3.3;539.351,0.25;8,1.5;9,1.3098;50.296,3.75;303.75,-3.3;1294.428,1.25;3,1;7,0.5;0;-0.104,0:04,7:12,0,5.5,10,10,1.5,10,10,7|1;2;3;4;5,-,-,,,S01-M,A85,-,RTA02|NONE,R1|-,15;L1|-,-|-,-|-,-|-,L2;R2|-,-|-,-,8,-,Room:0:-1|-
A85,Menyapu Ruang Tidur Anak 3 pagi,3,0,0,0,1;0,-3.3;539.351,0.25;8,1.5;9,1.3098;50.296,3.75;303.75,-3.3;1294.428,1.25;3,1;7,0.5;0;-0.104,0:04,7:16,0,5.5,10,10,1.5,10,10,7|1;2;3;4;5,-,-,,,S01-M,A86,-,RTA03|NONE,R1|-,15;L1|-,-|-,-|-,-|-,L2;R2|-,-|-,-,8,-,Room:0:-1|-
A86,Menyapu Ruang Tidur Tamu pagi,3,0,0,0,1;0,-3.3;539.351,0.25;8,1.5;9,1.3098;50.296,3.75;303.75,-3.3;1294.428,1.25;3,1;7,0.5;0;-0.104,0:05,7:20,0,5.5,10,10,1.5,10,10,7|1;2;3;4;5,-,-,,,S01-M,A87,-,RTD01|NONE,R1|-,15;L1|-,-|-,-|-,-|-,L2;R2|-,-|-,-,8,-,Room:0:-1|-
A87,Menyapu Selasar Lt. 2 pagi,3,0,0,0,1;0,-3.3;539.351,0.25;8,1.5;9,1.3098;50.296,3.75;303.75,-3.3;1294.428,1.25;3,1;7,0.5;0;-0.104,0:05,7:25,0,5.5,10,10,1.5,10,10,7|1;2;3;4;5,-,-,,,S01-M,A09,-,RSL02|NONE,-|-,15;L1|-,-|-,-|-,-|-,L2|-,-|-,-,8,-,Room:0:-1|-
A09,Menyapu Dapur Kotor pagi,3,0,0,0,1;0,-3.3;539.351,0.25;8,1.5;9,1.3098;50.296,3.75;303.75,-3.3;1294.428,1.25;3,1;7,0.5;0;-0.104,0:02,7:30,0,5.5,10,10,1.5,10,10,7|1;2;3;4;5,-,-,,,S01-M,A88,-,RDP01|NONE,-|-,15;L1|-,-|-,-|-,-|-,L2|-,-|-,-,8,-,Room:0:-1|-
