ID,Description,Repeat,Auto,Outdoor,BioActivity,Interrupt,Hunger,Dirty,Thirst,Defecate,Urinate,Energy,Exhausted,Sleepy,Emotion,Duration,Start,Priority,Physical_Std,Wish,Advantage,Authority,Obedience,Urgency,Routine,Prerequisite,InteractAgent,Set,Next,Eliminate,Rooms,Door,LightThreshold,Status,Temperature,Device,PostActivity,Resource,InteractAgentStatus,UrgencyType,UrgencyValue,Effect
A175,Minum jus,5,0,0,0,0;1,-2.3;622.16,1;5,1;5,1.133;13.595,15;30,-2.3;639.936,1.5;3,1;6,0.25;-0.25;0.25,0:10,7:00,0,3,10,10,1,10,10,1|1,-,agen02,-,-,-,RSL01|NONE,-|-,20;L1|-,1.67|-,-|-,Chair|-,-|-,DrinkWater:0|-,-,1,Thirsty,Room:0:0.1;DirtyUtensil:0:1|-
A122,Makan bersama keluarga pagi,4,0,0,0,0;1,-1.5;266.64,0.25;9,1.75;9,1.133;21.752,30;54,-1.5;639.936,1;3,0;7,0;0;0.125,0:30,7:00,0,3,10,10,1.167,10,10,1|1,A119,agen01;agen02;agen03;agen04,-,B02,A158,RMK01|NONE,-|-,20;L1|-,-|-,-|-,Chair|-,-|-,Food:2|-,-,1,Hunger,Room:0:0.1;Water:6:-0.083;DirtyUtensil:0:1|-
P13,Mengikuti agen lain untuk mandi,1,0,0,0,1;0,-2;266.64,0;9,1.75;9,0;21.752,30;54,-2;746.592,0;5,0;5,0;0;0.125,0:03,-,0,3,10,10,1,10,5,1|1,-,agen02;agen03,S09-C,B07,-,-|-,-|-,-|-,-|-,-|-,-|-,-|-,-|-,-,1,Dirty,Room:0:0.1|-
A158,Pergi makan pagi di luar rumah,1,0,1,0,1;0,-2.3;622.16,1;5,1.75;5,1.133;13.595,15;30,-2.3;639.936,1.5;3,1;6,0.25;-0.25;0.125,2:00,8:00,3,5,10,8,1.167,10,10,7|6;7,-,agen01;agen02;agen03;agen04,-,B02,A122,RGS01|NONE,R1|-,20;L1|-,-|-,-|-,-|-,-|-,-|-,-,1,Hunger,Room:0:0.1|-
A46,Menonton TV pagi,1,0,0,0,1;0,-1;711.04,0.25;8,1.75;2,1.133;21.752,30;36,-1;639.936,1;1,1;3,0;0;0.125,2:00,9:00,0,2.5,10,6,-,-,5,1|1,-,agen02,-,-,-,RKG01|NONE,-|-,20;L1|-,1.67|-,-|-,Sofa|-,E2|-,-|-,-,0,0,Room:0:0.1|-
P37,Mengikuti agen02/03 makan pagi,4,0,0,0,1;0,-2;266.64,0;9,1.75;9,0;21.752,30;54,-2;746.592,0;5,0;5,0;0;0.125,0:03,9:00,0,3,10,10,1,10,10,1|1,-,agen02;agen03,-,P38,A122;A158,-|-,-|-,20;L1|-,-|-,-|-,-|-,-|-,-|-,-,1,Hunger,Room:0:0.1|-
P38,Menunggu agen02/03 mengambil makan pagi,4,0,0,0,1;0,-2;266.64,0.25;9,1.75;9,0;21.752,30;54,-2;746.592,1;5,1;5,0;0;0.125,0:03,9:00,0,3,10,10,1,10,10,1|1,P37,agen02;agen03,-,B02,A122;A158,RMK01|RKG02,-|-,20;L1|-,-|-,-|-,Chair|-,-|-,-|-,-,1,Hunger,Room:0:0.1|Room:0:0.1
A124,Makan bersama keluarga siang,4,0,0,0,0;1,-1.5;266.64,0.25;9,1.75;9,1.133;21.752,30;54,-1.5;639.936,1;3,1;7,0;0;0.125,0:30,12:00,0,3,10,10,1.167,10,10,1|1,A119,agen01;agen02;agen03;agen04,-,B02,A48,RMK01|NONE,-|-,20;L1|-,-|-,-|-,Chair|-,-|-,Food:2|-,-,1,Hunger,Room:0:0.1;Water:6:-0.083;DirtyUtensil:0:1|-
A160,Bersantai siang,1,0,0,0,1;0,-1;711.04,0.25;8,1.75;2,1.133;21.752,30;36,-1;319.968,-1.75;1,1.25;3,0.25;-0.25;0.125,3:00,12:00,0,2,8,10,1,10,7.5,1|1,-,-,-,-,-,RKG01|RTU01,-|R1,20;L1|20;L1,1.67|1.67,-|19,Sofa|Bed,-|-,-|-,-,1,Exhausted,Room:0:0.1|Room:0:0.1
A51,Menonton TV siang,1,0,0,0,1;0,-1;711.04,0.25;8,1.75;2,1.133;21.752,30;36,-1;639.936,1;1,1;3,0;0;0.125,2:00,12:00,0,2.5,10,6,-,-,5,1|1,-,agen02,-,-,-,RKG01|NONE,-|-,20;L1|-,1.67|-,-|-,Sofa|-,E2|-,-|-,-,0,0,Room:0:0.1|-
A36,Pergi jalan ke luar rumah di akhir pekan,1,0,1,0,1;0,-2.3;622.16,1;5,1;5,1.133;13.595,15;30,-2.3;639.936,1.5;3,1;6,0.25;-0.25;0.25,3:00,13:00,3,5,10,8,1.167,10,10,7|6;7,-,-,-,-,-,RGS01|NONE,R1|-,20;L1|-,-|-,-|-,-|-,-|-,-|-,-,0,0,Room:0:0.1|-
A48,Pergi makan siang di luar rumah,1,0,1,0,1;0,-2.3;622.16,1;5,1.75;5,1.133;13.595,15;30,-2.3;639.936,1.5;3,0;6,0.25;-0.25;0.5,2:00,13:00,3,5,10,8,1.167,10,10,7|6;7,-,agen01;agen02;agen03;agen04,-,B02,A124,RGS01|NONE,R1|-,20;L1|-,-|-,-|-,-|-,-|-,-|-,-,1,Hunger,Room:0:0.1|-
