ID,Description,Repeat,Auto,Outdoor,BioActivity,Interrupt,Hunger,Dirty,Thirst,Defecate,Urinate,Energy,Exhausted,Sleepy,Emotion,Duration,Start,Priority,Physical_Std,Wish,Advantage,Authority,Obedience,Urgency,Routine,Prerequisite,InteractAgent,FollowerActivity,FollowMovement,Set,Next,Eliminate,Rooms,Door,LightThreshold,Status,Temperature,Device,PostActivity,Resource,InteractAgentStatus,UrgencyType,UrgencyValue,Effect
P28,Wudhu1,5,0,0,0,0;1,-1;468.3,0;9,1;9,3.908;31.264,30;54,-1;1123.92,0;3,0;7,0;0;0.167,0:05,6:00,0,2,10,10,1,10,10,1|1,-,-,-,0,S10-C,A82,-,RDP01|NONE,-|-,20;L1|-,-|-,-|-,Faucet|-,L2;D2|-,Water:0|-,-,0,0,Room:0:0.1;Water:11:-0.089;Water:11:-0.086|-
A82,Ibadah 1,5,0,0,0,0;1,-1;468.3,0.25;9,1;9,3.908;31.264,30;54,-1;1123.92,1;3,1;7,0.25;-0.5;0.167,0:15,6:05,0,2,10,10,1,10,10,1|1,P28,-,-,0,S10-M,-,-,RTA01|NONE,R1|-,20;L1|-,0.17|-,19|-,-|-,E2|-,-|-,-,0,0,Room:0:0.1|-
P49,Mencari agen lain untuk jalan di akhir pekan,1,0,1,0,0;1,-2;468.3,1;5,1;5,3.908;19.54,15;30,-2;1311.24,1.5;3,1;6,0.25;-0.25;0.334,0:03,6:00,3,5,6,8,1.67,10,10,1|1,-,agen06,-,0,S20-C,P12,-,-,-|-,-|-,-|-,-|-,-|-,-|-,-|-,-,6,-,Room:0:0.1|-
P12,Membawa agen lain untuk jalan akhir pekan,1,0,1,0,0;1,-2;468.3,1;5,1;5,3.908;19.54,15;30,-2;1311.24,1.5;3,1;6,0.25;-0.25;0.334,0:03,6:00,3,5,6,8,1.67,10,10,1|1,P49,agen06,P47,0,S20-M,A36,-,RGS01|NONE,R1|-,-|-,-|-,-|-,-|-,-|-,-|-,-,6,-,Room:0:0.1|-
A36,Pergi jalan ke luar rumah di akhir pekan,1,0,1,0,0;1,-2.3;1092.7,1;5,1;5,3.908;19.54,15;30,-2.3;1123.92,1.5;3,1;6,0.25;-0.25;0.334,0:30,6:00,3,5,6,8,1.67,10,10,1|1,P12,agen06,A36,0,S20-M,-,-,RGS01|NONE,R1|-,-|-,-|-,-|-,-|-,-|-,-|-,-,6,-,Room:0:0.1|-
A03,Mematikan lampu luar di pagi hari,2,0,0,0,0;1,-1;1092.7,0.25;8,1;4,3.908;31.264,30;48,-1;1123.92,1;2,1;2,0;0;0.167,0:03,6:00,0,2,8,10,2.33,10,10,30|-5,A57,-,-,0,S27-M,-,-,RTM01|NONE,-|-,-|-,-|-,-|-,-|-,-|-,-|-,-,7,-,Room:0:0.1|-
A24,Memasak makan pagi dengan kompor gas,5,0,0,0,0;1,-2.5;1092.7,0.25;8,1;4,3.908;31.264,15;48,-2.5;1123.92,1.5;2,1;2,0;-0.25;0.167,0:15,7:00,0,6.5,10,10,1.67,10,10,1|1,-,agen01;agen03;agen04;agen05;agen06,-,0,-,-,-,RDP01|NONE,-|-,20;L1|-,2.5|-,-|-,Stove|-,D2|-,Gas:0;Water:12;RawFood:6|-,Hunger;6,3,Hunger;1.2,Room:0:0.1;Water:0:-10;Gas:11:-0.246;DirtyUtensil:0:1;RawFood:0:6;Food:4:12|-
A122,Makan bersama keluarga pagi,3,0,0,1,0;1,-1.5;468.3,0.25;9,1.75;9,3.908;31.264,30;54,-1.5;1123.92,1;3,0;7,0;0;0.167,0:15,7:00,1,3,10,10,1.67,10,10,1|1,A119,agen01;agen04;agen06,-,0,-,-,-,RMK01|NONE,-|-,20;L1|-,-|-,-|-,Chair|-,L2;D2|-,Food:10|-,Hunger;7,3,Hunger;1.2,Room:0:0.1;Water:11:-0.083;Water:0:-2;Food:0:-2;DirtyUtensil:0:1|-
A74,Mencuci piring dan alat masak pagi,2,0,0,0,0;1,-2.3;1248.8,0.25;8,1.75;2,3.908;31.264,15;36,-2.3;749.28,1.5;1,1;3,0;-0.25;0.667,0:15,8:00,0,4.5,8,8,1.67,7.5,10,7|6;7,-,-,-,0,-,-,-,RDP02|NONE,-|-,20;L1|-,2.5|-,-|-,Sink|-,D2|-,Water:0|-,-,5,DirtyUtensil,Room:0:0.1;Water:11:-0.055;DirtyUtensil:5:0|-
P26,Mencari agen06 mandi pagi,5,0,0,0,0;1,-2;468.3,0;9,1.75;9,0;31.264,30;54,-2;1311.24,0;5,0;5,0;0;0.167,0:03,8:00,0,3,10,10,1.67,10,10,1|1,-,agen06,-,0,S05-C,P27,-,-,-|-,-|-,-|-,-|-,-|-,-|-,-|-,Dirty;7,4,Dirty;1.2,Room:0:0.1|-
P27,Membawa agen06 mandi pagi,5,0,0,0,0;1,-2;468.3,0;9,1.75;9,0;31.264,30;54,-2;1311.24,0;5,0;5,0;0;0.167,0:03,8:03,0,6.5,10,10,1.67,10,10,1|1,P26,agen06,P13,1,S05-C,A159,-,RKM02|NONE,R1|-,20;L1|-,-|-,-|-,-|-,-|-,-|-,Dirty;7,4,Dirty;1.2,Room:0:0.1|-
A159,Memandikan agen06 pagi hari,5,0,0,0,0;1,-2.5;468.3,0.25;9,1.75;9,3.908;31.264,15;54,-2.5;749.28,1;3,1;7,0.25;-0.25;0.167,0:15,8:06,0,2,10,10,1.67,10,10,1|1,P27,agen06,B07,0,S05-M,-,-,RKM02|NONE,R1|-,20;L1|-,-|-,-|-,-|-,D2|-,Water:60|-,Dirty;7,4,Dirty;1.2,Room:0:0.1;Water:11:-0.017;Water:0:-60;DirtyCloth:0:1|-
P05,Mencari agen06 bermain pagi,5,0,0,0,1;0,-2;468.3,0;9,1;9,3.908;31.264,30;54,-2;1311.24,0;5,0;5,0;0;0.167,0:03,8:00,0,3,10,10,1.67,10,10,1|1,-,agen06,A155,0,-,A52,-,-,-|-,-|-,-|-,-|-,-|-,-|-,-|-,-,6,-,Room:0:0.1|-
P23,Mencari agen06 makan pagi,5,0,0,0,0;1,-2;468.3,0;9,1.75;9,3.908;31.264,30;54,-2;1311.24,0;5,0;5,0;0;0.167,0:03,9:00,0,3,10,10,1.67,10,10,1|1,-,agen06,-,0,S11-C,P24,-,-,-|-,-|-,-|-,-|-,-|-,-|-,-|-,Hunger;5,4,Hunger;1.2,Room:0:0.1|-
P24,Membawa agen06 makan pagi,5,0,0,0,0;1,-2;468.3,0;9,1.75;9,3.908;31.264,30;54,-2;1311.24,0;5,0;5,0;0;0.167,0:03,9:03,0,3,10,10,1.67,10,10,1|1,P23,agen06,-,0,S11-C,P25,-,RKG02|NONE,-|-,20;L1|-,-|-,-|-,-|-,-|-,-|-,Hunger;5,4,Hunger;1.2,Room:0:0.1|-
P25,Mengambil Makan untuk agen06 pagi,5,0,0,0,0;1,-2;468.3,0.25;9,1.75;9,3.908;31.264,30;54,-2;1311.24,1;5,1;5,0;0;0.167,0:03,9:06,0,3,10,10,1.67,10,10,1|1,P24,agen06,-,0,S11-C,A32,-,RMK01|NONE,-|-,20;L1|-,-|-,-|-,-|-,-|-,Food:2|-,Hunger;5,4,Hunger;1.2,Room:0:0.1;Food:0:-2|-
A32,Menyuapi agen06 makan pagi,5,0,0,0,0;1,-2.5;468.3,0.25;9,1.75;4,3.908;31.264,15;48,-2.5;561.96,1;2,1;2,0.25;-0.5;0.167,0:20,9:09,0,6.5,10,10,1.67,10,10,1|1,P25,agen06,-,0,S11-M,-,-,RKG02|NONE,-|-,20;L1|-,-|-,-|-,-|-,-|-,-|-,Hunger;5,4,Hunger;1.2,Room:0:0.1;DirtyUtensil:0:1;Trash:0:1|-
A04,Belanja,4,0,1,0,1;0,-2.3;1092.7,1;8,1.75;2,3.908;31.264,15;48,-2.3;749.28,1.5;2,1;3,0.25;-0.25;0.667,2:00,10:00,3,6.5,10,10,1,10,10,30|-4,-,-,-,0,-,-,-,RGS01|NONE,R1|-,-|-,-|-,-|-,-|-,-|-,RawFood:10|-,-,2,RawFood,Room:0:0.1;RawFood:0:50;Trash:0:1|-
A124,Makan bersama keluarga siang,3,0,0,1,0;1,-1.5;468.3,0.25;9,1.75;9,3.908;31.264,30;54,-1.5;1123.92,1;3,0;7,0;0;0.167,0:15,12:00,1,3,10,10,1.67,10,10,1|1,A119,agen01;agen03;agen04;agen06,-,0,-,-,A48,RMK01|NONE,-|-,20;L1|-,-|-,-|-,Chair|-,L2;D2|-,Food:10|-,Hunger;7,3,Hunger;1.2,Room:0:0.1;Water:11:-0.083;Water:0:-2;Food:0:-2;DirtyUtensil:0:1|-
A48,Pergi makan siang di luar rumah,4,0,1,0,0;1,-2.3;1092.7,1;5,1.75;5,3.908;19.54,15;30,-2.3;1123.92,1.5;3,0;6,0.25;-0.25;0.667,2:00,12:00,3,5,10,8,1.67,10,10,7|1;2;3;4;5,-,-,-,0,-,-,A124,RGS01|NONE,R1|-,-|-,-|-,-|-,-|-,-|-,-|-,-,1,Hunger,Room:0:0.1|-
