Current Activity,B04,,,,
Ability,6,,,,
Weight,11,,,,
EmotionNorm,0.5,,,,
EmotionCurrent,0.5,,,,
RateGood,0.000520833333333,,,,
RateBad,0.006666666666667,,,,
NonIndependentAct,B02;B07;A36,,,,
Property,Current,Rate,Habit,Effect,Custom
Hunger,1066.6,"1066,56|24|0.5:0.25:0.125",06-9;12-18,355.52;888.80,-
Dirty,0,10|24|0.3:0.15,06-09;15-18,8,-
Thirst,0,10|9|1:0.25,-,10:10;0:0;5:5,-
Energy,888.8,1066.56|24|0.2:0.025,-,-,-
Exhausted,0,10|18|1:-0.5,-,-,-
Sleepy,0,10|9|0.05:-1,06-09;19-20|15-18;21-24,-,-
Defecate,-,-,06-24,-,1066.6;3.33;27.19;0.7355
Urinate,100,60,-,150;100,6050;100;100
