ID,Decription,Repeat,Auto,Outdoor,BioActivity,Interrupt,Hunger,Dirty,Thirst,Energy,Exhausted,Sleepy,Defecate,Urinate,Emotion,Duration,Start,Priority,Physical_Std,Wish,Advantage,Authority,Obedience,Urgency,Routine,Prerequisite,InteractAgent,FollowerActivity,FollowMovement,Set,Next,Eliminate,Rooms,Door,LightThreshold,Status,Temperature,Device,PostActivity,Resource,InteractAgentStatus,UrgencyType,UrgencyValue,Effect
A54,Pergi jalan ke sekitar rumah,1,0,1,0,0;1,-3.8;1067.44,1.25;5,1.25;5,-3.8;1097.94,1.75;3,-1.25;6,5.098;25.49,7.5;30,0.025;-0.25;0.458,0:45,5:00,3,5,6,6,1,7.5,7.5,7|-3,-,agen04,A54,1,-,-,-,RHD01|NONE,R1|-,-|-,-|-,-|-,-|-,R2|-,-|-,-,0,0,Room:0:0.1|-
A04,Belanja,1,0,1,0,0;1,-2.3;1067.44,1.25;8,1.25;2,-2.3;731.96,1;2,1.25;3,5.098;40.784,15;48,0.025;-0.25;0.229,0:30,6:00,0,6.5,8,8,1,10,7.5,1|1,-,-,-,0,-,-,-,RHD01|NONE,R1|-,-|-,-|-,-|-,-|-,-|-,RawFood:5|-,-,2,RawFood,Room:0:0.1;RawFood:0:30;Trash:0:0.1|-
A06,Menyapu Ruang Tidur Utama 2 pagi,1,0,0,0,1;0,-3.3;457.472,1.5;9,1.75;9,-3.3;1097.94,1.75;3,1.5;7,5.098;40.784,7.5;54,0;0;0.344,0:03,6:00,0,5.5,6,8,1,10,7.5,1|1,-,-,-,0,S01-M,A10,-,RTU02|NONE,R1|-,65;L1|-,1|-,-|-,-|-,-|-,-|-,-,8,-,Room:3:-0.5;Trash:0:0.1|-
A10,Menyapu Dapur Bersih pagi,1,0,0,0,1;0,-3.3;457.472,1.5;9,1.75;9,-3.3;1097.94,1.75;3,-1.25;7,5.098;40.784,7.5;54,0;0;0.344,0:03,6:03,0,5.5,6,8,1,10,7.5,1|1,-,-,-,0,S01-M,A11,-,RDP02|NONE,-|-,65;L1|-,1|-,-|-,-|-,-|-,-|-,-,8,-,Room:3:-0.5;Trash:0:0.1|-
A11,Menyapu Ruang Keluarga pagi,1,0,0,0,1;0,-3.3;457.472,1.5;9,1.75;9,-3.3;1097.94,1.75;3,-1.25;7,5.098;40.784,7.5;54,0;0;0.344,0:02,6:06,0,5.5,6,8,1,10,7.5,1|1,-,-,-,0,S01-M,A12,-,RKG01|NONE,-|-,65;L1|-,1|-,-|-,-|-,-|-,-|-,-,8,-,Room:3:-0.5;Trash:0:0.1|-
A12,Menyapu Ruang Tamu pagi,1,0,0,0,1;0,-3.3;457.472,1.5;9,1.75;9,-3.3;1097.94,1.75;3,-1.25;7,5.098;40.784,7.5;54,0;0;0.344,0:03,6:08,0,5.5,6,8,1,10,7.5,1|1,-,-,-,0,S01-M,A186,-,RTM01|NONE,-|-,65;L1|-,1|-,-|-,-|-,-|-,-|-,-,8,-,Room:3:-0.5;Trash:0:0.1|-
A186,Menyapu Teras pagi,1,0,0,0,1;0,-3.3;457.472,1.5;9,1.75;9,-3.3;1097.94,1.75;3,-1.25;7,5.098;40.784,7.5;54,0;0;0.344,0:02,6:11,0,5.5,6,8,1,10,7.5,1|1,-,-,-,0,S01-M,A15,-,RTS01|NONE,R1|-,65;L1|-,1|-,-|-,-|-,-|-,-|-,-,8,-,Room:3:-0.5;Trash:0:0.1|-
A15,Mengepel Ruang Tidur Utama 2 pagi,1,0,0,0,1;0,-3.3;457.472,1.5;9,1.75;9,-3.3;1097.94,1.75;3,-1.25;7,5.098;40.784,7.5;54,0;0;0.344,0:03,6:13,0,5.5,6,8,1,10,7.5,1|1,A06,-,-,0,S01-M,A18,-,RTU02|NONE,R1|-,65;L1|-,1|-,-|-,-|-,L2|-,-|-,-,8,-,Room:3:-0.5;Trash:0:0.1|-
A18,Mengepel Dapur Bersih pagi,1,0,0,0,1;0,-3.3;457.472,1.5;9,1.75;9,-3.3;1097.94,1.75;3,-1.25;7,5.098;40.784,7.5;54,0;0;0.344,0:03,6:16,0,5.5,6,8,1,10,7.5,1|1,A10,-,-,0,S01-M,A19,-,RDP02|NONE,-|-,65;L1|-,1|-,-|-,-|-,L2|-,-|-,-,8,-,Room:3:-0.5;Trash:0:0.1|-
A19,Mengepel Ruang Keluarga pagi,1,0,0,0,1;0,-3.3;457.472,1.5;9,1.75;9,-3.3;1097.94,1.75;3,-1.25;7,5.098;40.784,7.5;54,0;0;0.344,0:02,6:19,0,5.5,6,8,1,10,7.5,1|1,A11,-,-,0,S01-M,A20,-,RKG01|NONE,-|-,65;L1|-,1|-,-|-,-|-,L2|-,-|-,-,8,-,Room:3:-0.5;Trash:0:0.1|-
