ID,Description,Repeat,Auto,Outdoor,BioActivity,Interrupt,Hunger,Dirty,Thirst,Energy,Exhausted,Sleepy,Defecate,Urinate,Emotion,Duration,Start,Priority,Physical_Std,Wish,Advantage,Authority,Obedience,Urgency,Routine,Prerequisite,InteractAgent,FollowerActivity,FollowMovement,Set,Next,Eliminate,Rooms,Door,LightThreshold,Status,Temperature,Device,PostActivity,Resource,InteractAgentStatus,UrgencyType,UrgencyValue,Effect
A103,Olahraga di rumah,1,0,0,0,0;1,-3.8;1545.54,1.5;5,1.75;5,-3.8;1589.7,1.75;3,1.75;6,3.908;19.54,7.5;30,0.05;-0.025;0.458,2:30,5:00,4,6.5,10,8,1,5,5,7|6;7,-,-,-,0,-,-,-,RKJ01|NONE,-|-,65;L1|-,5|-,-|-,-|-,L2|-,-|-,-,0,0,Room:0:0.1|-
A140,Bersepeda,1,0,1,0,0;1,-3.8;1545.54,1.5;5,1.75;5,-3.8;1589.7,1.75;3,1.75;6,3.908;19.54,7.5;30,0.05;-0.025;0.458,2:30,5:00,4,6.5,10,8,1,5,5,7|6;7,-,-,-,0,-,-,-,RGS02|NONE,R1|-,65;CC|-,5|-,-|-,-|-,R2;L2|-,-|-,-,0,0,Room:0:0.1|-
A129,Pergi ke luar kota,1,0,1,0,0;0,-2.3;1545.54,1.75;5,1.75;5,-2.3;1589.7,1.75;3,1.75;6,3.908;19.54,15;30,-0.0125;0;0.115,0:00,6:00,0,6.5,10,8,1,10,10,30|-2,-,-,-,0,-,-,-,RGS01|NONE,R1|-,-|-,5|-,-|-,-|-,R2|-,-|-,-,0,0,Room:0:0.1|-
A01,Membereskan kasur & karpet tidur,1,0,0,0,1;0,-2;662.372,1;9,1;9,-2;1854.65,1;3,1;3,3.908;31.264,22.5;54,0;0;0.515,0:10,6:00,0,2,4,6,1.2,7.5,7.5,1|1,-,-,-,0,-,-,-,RTU01|RTU02,R1|R1,65;L1|65;L1,2|2,-|-,Bed|Bed,R2;L2|R2;L2,-|-,-,8,-,Room:0:0.1|Room:0:0.1
A02,Mengisi ulang daya gadget pagi,2,1,0,0,0;1,-1;662.372,1;9,1;9,-1;1854.65,1;5,1;5,3.908;31.264,30;54,0;-0.025;0.115,2:00,6:00,0,2,8,8,0,0,7.5,1|1,-,-,-,0,-,-,-,RKG01|NONE,-|-,65;L1|-,5|-,-|-,-|-,L2|-,-|-,-,0,0,Room:0:0.1;CH01:1:0.0088|Room:0:0.1;CH02:1:0.0148;CH03:1:0.0088
A05,Menyapu Ruang Tidur Utama 1 pagi,1,0,0,0,0;1,-3.3;662.372,1;9,1.25;9,-3.3;1589.7,1;3,1.25;7,3.908;31.264,7.5;54,0;0;0.515,0:04,7:00,0,5.5,6,8,1.6,7.5,7.5,7|-5,-,-,-,0,S01-M,A06,-,RTU01|NONE,R1|-,65;L1|-,2|-,-|-,-|-,R2;L2|-,-|-,-,8,-,Room:3:-0.5;Trash:0:0.1|-
A06,Menyapu Ruang Tidur Utama 2 pagi,1,0,0,0,0;1,-3.3;662.372,1;9,1.25;9,-3.3;1589.7,1;3,1.25;7,3.908;31.264,7.5;54,0;0;0.515,0:05,7:04,0,5.5,6,8,1.6,7.5,7.5,7|-5,-,-,-,0,S01-M,A10,-,RTU02|NONE,R1|-,65;L1|-,2|-,-|-,-|-,R2;L2|-,-|-,-,8,-,Room:3:-0.5;Trash:0:0.1|-
A10,Menyapu Dapur Bersih pagi,1,0,0,0,0;1,-3.3;662.372,1;9,1.25;9,-3.3;1589.7,1;3,1.25;7,3.908;31.264,7.5;54,0;0;0.515,0:03,7:09,0,5.5,6,8,1.6,7.5,7.5,7|-5,-,-,-,0,S01-M,A11,-,RDP02|NONE,-|-,65;L1|-,5|-,-|-,-|-,L2|-,-|-,-,8,-,Room:3:-0.5;Trash:0:0.1|-
A11,Menyapu Ruang Keluarga pagi,1,0,0,0,0;1,-3.3;662.372,1;9,1.25;9,-3.3;1589.7,1;3,1.25;7,3.908;31.264,7.5;54,0;0;0.515,0:08,7:12,0,5.5,6,8,1.6,7.5,7.5,7|-5,-,-,-,0,S01-M,A12,-,RKG01|NONE,-|-,65;L1|-,5|-,-|-,-|-,L2|-,-|-,-,8,-,Room:3:-0.5;Trash:0:0.1|-
A12,Menyapu Ruang Tamu pagi,1,0,0,0,0;1,-3.3;662.372,1;9,1.25;9,-3.3;1589.7,1;3,1.25;7,3.908;31.264,7.5;54,0;0;0.515,0:06,7:20,0,5.5,6,8,1.6,7.5,7.5,7|-5,-,-,-,0,S01-M,A14,-,RTM01|NONE,-|-,65;L1|-,5|-,-|-,-|-,L2|-,-|-,-,8,-,Room:3:-0.5;Trash:0:0.1|-
A14,Mengepel Ruang Tidur Utama 1 pagi,1,0,0,0,0;1,-3.5;662.372,1;9,1.25;9,-3.5;1589.7,1;3,1.25;7,3.908;31.264,7.5;54,0;0;0.515,0:04,7:26,0,5.5,6,8,1.6,7.5,7.5,7|-5,A05,-,-,0,S01-M,A15,-,RTU01|NONE,R1|-,65;L1|-,2|-,-|-,-|-,R2;L2|-,-|-,-,8,-,Room:3:-0.5;Water:0:-2|-
A15,Mengepel Ruang Tidur Utama 2 pagi,1,0,0,0,0;1,-3.5;662.372,1;9,1.25;9,-3.5;1589.7,1;3,1.25;7,3.908;31.264,7.5;54,0;0;0.515,0:05,7:30,0,5.5,6,8,1.6,7.5,7.5,7|-5,A06,-,-,0,S01-M,A18,-,RTU02|NONE,R1|-,65;L1|-,2|-,-|-,-|-,R2;L2|-,-|-,-,8,-,Room:3:-0.5;Water:0:-2|-
A18,Mengepel Dapur Bersih pagi,1,0,0,0,0;1,-3.5;662.372,1;9,1.25;9,-3.5;1589.7,1;3,1.25;7,3.908;31.264,7.5;54,0;0;0.515,0:03,7:35,0,5.5,6,8,1.6,7.5,7.5,7|-5,A10,-,-,0,S01-M,A19,-,RDP02|NONE,-|-,65;L1|-,5|-,-|-,-|-,L2|-,-|-,-,8,-,Room:3:-0.5;Water:0:-2|-
A19,Mengepel Ruang Keluarga pagi,1,0,0,0,0;1,-3.5;662.372,1;9,1.25;9,-3.5;1589.7,1;3,1.25;7,3.908;31.264,7.5;54,0;0;0.515,0:08,7:38,0,5.5,6,8,1.6,7.5,7.5,7|-5,A11,-,-,0,S01-M,A20,-,RKG01|NONE,-|-,65;L1|-,5|-,-|-,-|-,L2|-,-|-,-,8,-,Room:3:-0.5;Water:0:-2|-
A20,Mengepel Ruang Tamu pagi,1,0,0,0,0;1,-3.5;662.372,1;9,1.25;9,-3.5;1589.7,1;3,1.25;7,3.908;31.264,7.5;54,0;0;0.515,0:06,7:46,0,5.5,6,8,1.6,7.5,7.5,7|-5,A12,-,-,0,S01-M,-,-,RTM01|NONE,-|-,65;L1|-,5|-,-|-,-|-,D2;L2|-,-|-,-,8,-,Room:3:-0.5;Water:0:-2|-
P01,Mencari agen03 bangun pagi,2,0,0,0,0;1,-1;662.372,0.1;9,0;9,-1;1854.65,1;5,1;5,3.908;31.264,30;54,0;0;0,0:05,7:00,0,3,10,10,1.4,10,10,1|1,-,agen03,-,0,S01-M,A25,-,-,-|-,-|-,-|-,-|-,-|-,-|-,-|-,Sleepy;3,0,0,Room:0:0.1|-
A25,Membangunkan agen03 di pagi hari,2,0,0,0,0;1,-1;1545.54,1;8,1;4,-1;1589.7,1;2,1;2,3.908;31.264,30;48,0.025;-0.025;0.115,0:05,7:05,0,3,10,10,1.4,10,10,1|1,P01,agen03,B01,0,S02-M,A26,-,-,-|-,-|-,-|-,-|-,-|-,-|-,-|-,Sleepy;3,4,Sleepy;1,Room:0:0.1|-
A26,Membuat susu agen03 di pagi hari,1,0,0,0,0;1,-1;662.372,1;9,1;9,-1;1324.75,1;3,1;7,3.908;31.264,30;54,0;-0.025;0.115,0:10,7:00,0,5,8,8,1.4,10,10,1|1,A25,agen03,-,0,S03-M,P32,-,RDP02|NONE,-|-,65;L1|-,5|-,-|-,-|-,D2;L2|-,Gas:0;DrinkWater:150|-,Thirst;5,4,Thirst;0.8,Room:0:0.1;Gas:11:-0.0048;DrinkWater:0:-150|-
P32,Mencari agen03 minum susu,1,0,0,0,0;1,-1;662.372,0.1;9,0;9,-1;1854.65,1;5,1;5,3.908;31.264,30;54,0;0;0,0:05,7:10,0,3,8,8,1.4,10,10,1|1,A26,agen03,P51,1,S03-C,-,-,-,-|-,-|-,-|-,-|-,-|-,-|-,-|-,Thirst;5,0,0,Room:0:0.1|-
