ID,Decription,Repeat,Auto,Outdoor,BioActivity,Interrupt,Hunger,Dirty,Thirst,Energy,Exhausted,Sleepy,Defecate,Urinate,Emotion,Duration,Start,Priority,Physical_Std,Wish,Advantage,Authority,Obedience,Urgency,Routine,Prerequisite,InteractAgent,FollowerActivity,FollowMovement,Set,Next,Eliminate,Rooms,Door,LightThreshold,Status,Temperature,Device,PostActivity,Resource,InteractAgentStatus,UrgencyType,UrgencyValue,Effect
P45,Mengikuti agen lain jalan di sekitar rumah,1,0,1,0,0;1,-1;167.55,0.1;9,0;9,-1;563.64,1;5,1;5,3.908;31.264,30;54,0.025;-0.25;0.375,0:03,-,0,5,6,8,1,7.5,7.5,1|1,-,-,-,0,S23-C,-,-,-,-|-,100;L1|-,-|-,-|-,-|-,-|-,-|-,-,0,0,Room:0:0.1|-
A54,Pergi jalan ke sekitar rumah,1,0,1,0,0;1,-2.3;450.95,1;5,1;5,-2.3;483.12,1;3,1;6,3.908;19.54,15;30,0.025;-0.25;0.375,0:20,-,0,5,6,8,1,7.5,7.5,1|1,-,-,-,0,S23-M,-,-,RGS01|NONE,-|-,100;L1|-,-|-,-|-,-|-,-|-,-|-,-,0,0,Room:0:0.1|-
A46,Menonton TV pagi,1,0,0,0,1;0,-1;521.8,1;8,1.25;2,-1;483.12,1;1,1;3,3.908;31.264,30;36,0.025;-0.25;0.375,2:00,08:00|05:00|11:00,0,2.5,6,8,3,7.5,2.5,1|1,-,-,-,0,-,-,-,RKG01|NONE,-|-,100;L1|-,-|-,26|-,Chair;TV|-,-|-,-|-,-,0,0,Room:0:0.1;TV01:1:0.029|-
A160,Bersantai siang,2,0,0,0,0;1,-1;521.8,1;8,1.5;2,-1;241.56,-1.75;1,1;3,3.908;31.264,30;36,0.025;-0.25;0.375,2:00,12:00|09:00|15:00,0,2,8,8,1,7.5,7.5,1|1,-,-,-,0,-,-,-,RKG01|RTM01,-|-,100;L1|100;L1,-|-,26|29,Chair|Sofa,-|-,-|-,-,1,Exhausted,Room:0:0.1|Room:0:0.1
A51,Menonton TV siang,1,0,0,0,1;0,-1;521.8,1;8,1.25;2,-1;483.12,1;1,1;3,3.908;31.264,30;36,0.025;-0.25;0.375,4:00,14:00|11:00|17:00,0,2.5,6,8,3,7.5,2.5,1|1,-,-,-,0,-,-,-,RKG01|NONE,-|-,100;L1|-,-|-,26|-,Chair;TV|-,-|-,-|-,-,0,0,Room:0:0.1;TV01:1:0.029|-
A78,Mengoperasikan gadget1,2,0,0,0,0;1,-2.5;380.1,1;6,1.5;4,-2.5;241.56,1.25;2,1.5;2,3.908;31.264,15;48,0.5;-0.5;0.375,3:00,08:00|05:00|11:00,1,3.5,8,8,3,7.5,7.5,1|1,-,-,-,0,-,-,-,RKG01|RTM01,-|-,100;L1|100;L1,-|-,26|29,Chair|Sofa,-|-,-|-,-,0,0,Room:0:0.1|Room:0:0.1
A67,Mengoperasikan gadget2,2,0,0,0,0;1,-2.5;380.1,1;6,1.5;4,-2.5;241.56,1.25;2,1.5;2,3.908;31.264,15;48,0.5;-0.5;0.375,3:00,16:00|13:00|19:00,1,3.5,8,8,3,7.5,7.5,1|1,-,-,-,0,-,-,-,RKG01|RTM01,-|-,100;L1|100;L1,-|-,26|29,Chair|Sofa,-|-,-|-,-,0,0,Room:0:0.1|Room:0:0.1
A142,Bersantai malam,2,0,0,0,0;1,-1;521.8,1;8,1.5;2,-1;241.56,-1.75;1,1;3,3.908;31.264,30;36,0.025;-0.25;0.375,2:00,21:00|18:00|00:00,0,2,8,8,1,7.5,7.5,1|1,-,-,-,0,-,-,-,RKG01|RTM01,-|-,100;L1|100;L1,-|-,26|29,Chair|Sofa,-|-,-|-,-,1,Exhausted,Room:0:0.1|Room:0:0.1
A50,Mengoperasikan gadget3,1,0,0,0,0;1,-2.5;380.1,1;6,1.5;4,-2.5;241.56,1.25;2,1.5;2,3.908;31.264,15;48,0.5;-0.5;0.375,3:00,20:00|17:00|23:00,1,3.5,8,8,3,7.5,7.5,1|1,-,agen01;agen02,-,0,-,-,-,RKG01|RTU02,-|-,100;L1|100;L1,-|-,26|26,Chair|Bed,-|-,-|-,-,0,0,Room:0:0.1|Room:0:0.1
P51,Menunggu agen lain membawa susu,7,0,0,1,0;1,-1;521.8,1;8,1.5;2,-1;241.56,-1.75;1,1;3,11.724;31.264,30;36,0;0;0.375,0:03,-,0,0,10,10,2,10,7.5,1|1,-,-,-,0,-,A176,-,-,-|-,-|-,-|-,-|-,-|-,-|-,DrinkWater:150|DrinkWater:150,-,1,Thirst,Room:0:0.1|-
A176,Minum susu,7,0,0,1,0;1,-1;521.8,1;8,1.5;2,-1;241.56,-1.75;1,1;3,11.724;31.264,30;36,0;0;0.375,0:15,-,0,0,10,10,2,10,7.5,1|1,P51,-,-,0,-,-,-,RKG01|RTU01,-|-,100;L1|100;L1,2|2,26|26,Chair|Bed,-|-,DrinkWater:150|DrinkWater:150,-,1,Thirst,Room:0:0.1;DirtyUtensil:0:0.5;DrinkWater:0:150|Room:0:0.1;DirtyUtensil:0:0.5;DrinkWater:0:150
P13,Mengikuti agen lain untuk mandi,6,0,0,0,1;0,-1;167.55,0.1;9,0;9,-1;563.64,1;5,1;5,3.908;31.264,30;54,-0.025;0.25;0.375,0:03,-,0,3,6,6,2,7.5,2.5,1|1,-,agen01;agen02;agen05,-,0,S09-C,B07,-,RKM02|RKM03,-|-,100;L1|100;L1,2|2,-|-,-|-,-|-,-|-,-,0,0,Room:0:0.1|Room:0:0.1
