Current Activity,B04,,,,
Ability,5.8,,,,
Weight,52,,,,
EmotionNorm,0.667,,,,
EmotionCurrent,0.611416666666667,,,,
RateGood,0.000381944444444,,,,
RateBad,0.004583333333333,,,,
NonIndependentAct,-,,,,
Property,Current,Rate,Habit,Effect,Custom
Hunger,1248.8,1873.2|24|0.25:0.125:0.0625,09-24,1248.80;1873.2,-
Dirty,0,10|24|0.15:0.075,09-24,10,-
Thirst,4,10|8|1:0.25,-,10:10;0:0;5:5,-
Energy,936.6,1873.2|24|0.2:0.025,-,-,-
Exhausted,8,10|18|1:-0.5,-,-,-
Sleepy,6,10|12|0.05:-1,04-06|22-24,-,-
Defecate,-,-,06-09,-,1873.2;4.79;39.08;0.7355
Urinate,110,60,-,150:100,28600;110;100
