ID,Description,Repeat,Auto,Outdoor,BioActivity,Interrupt,Hunger,Dirty,Thirst,Energy,Exhausted,Sleepy,Defecate,Urinate,Emotion,Duration,Start,Priority,Physical_Std,Wish,Advantage,Authority,Obedience,Urgency,Routine,Prerequisite,InteractAgent,FollowerActivity,FollowMovement,Set,Next,Eliminate,Rooms,Door,LightThreshold,Status,Temperature,Device,PostActivity,Resource,InteractAgentStatus,UrgencyType,UrgencyValue,Effect
A175,Minum jus,5,0,0,0,0;1,-2.3;622.16,1;5,1;5,-2.3;639.936,1.5;3,1;6,1.133;13.595,15;30,0.25;-0.25;0.25,0:10,10:15|10:00|11:00,0,3,10,10,1,10,10,1|1,-,agen02,-,0,-,-,-,RSL01|NONE,-|-,20;L1|-,1.67|-,-|-,Chair|-,-|-,DrinkWater:0|-,-,1,Thirst,Room:0:0.1;DirtyUtensil:0:1|-
A122,Makan bersama keluarga pagi,4,0,0,0,0;1,-1.5;266.64,0.25;9,1.75;9,-1.5;639.936,1;3,0;7,1.133;21.752,30;54,0;0;0.125,0:30,07:00|04:00|10:00,0,3,10,10,1.167,10,10,1|1,-,agen01;agen02;agen03;agen04,-,0,-,B02,A158,RMK01|NONE,-|-,20;L1|-,-|-,-|-,Chair|-,-|-,Food:2|-,-,1,Hunger,Room:0:0.1;DirtyUtensil:0:1|-
P13,Mengikuti agen lain untuk mandi,1,0,0,0,1;0,-2;266.64,0;9,1.75;9,-2;746.592,0;5,0;5,0;21.752,30;54,0;0;0.125,0:03,-,0,3,10,10,1,10,5,1|1,-,agen02;agen03,-,0,-,B07,-,-,-|-,-|-,-|-,-|-,-|-,-|-,-|-,-,1,Dirty,Room:0:0.1|-
A158,Pergi makan pagi di luar rumah,1,0,1,0,1;0,-2.3;622.16,1;5,1.75;5,-2.3;639.936,1.5;3,1;6,1.133;13.595,15;30,0.25;-0.25;0.125,2:00,08:00|05:00|11:00,3,5,10,8,1.167,10,10,7|6;7,-,agen01;agen02;agen03;agen04,-,0,-,B02,A122,RGS01|NONE,R1|-,20;L1|-,-|-,-|-,-|-,-|-,-|-,-,1,Hunger,Room:0:0.1|-
A46,Menonton TV pagi,1,0,0,0,1;0,-1;711.04,0.25;8,1.75;2,-1;639.936,1;1,1;3,1.133;21.752,30;36,0;0;0.125,2:00,10:30|10:00|12:00,0,2.5,10,6,0,0,5,1|1,-,agen02,-,0,-,-,-,RKG01|NONE,-|-,20;L1|-,1.67|-,-|-,Sofa|-,E2|-,-|-,-,0,0,Room:0:0.1|-
P10,Mengikuti agen02/03 makan pagi,4,0,0,0,1;0,-2;266.64,0;9,1.75;9,-2;746.592,0;5,0;5,0;21.752,30;54,0;0;0.125,0:03,10:00|09:00|11:00,0,3,10,10,1,10,10,1|1,-,agen02;agen03,-,0,-,P12,A122;A158,-,-|-,-|-,-|-,-|-,-|-,-|-,-|-,-,1,Hunger,Room:0:0.1|-
P12,Menunggu agen02/03 mengambil makan pagi,4,0,0,0,1;0,-2;266.64,0.25;9,1.75;9,-2;746.592,1;5,1;5,0;21.752,30;54,0;0;0.125,0:03,10:00|09:00|11:00,0,3,10,10,1,10,10,1|1,P10,agen02;agen03,-,0,-,B02,A122;A158,RMK01|RKG02,-|-,20;L1|-,-|-,-|-,Chair|-,-|-,-|-,-,1,Hunger,Room:0:0.1|Room:0:0.1
A124,Makan bersama keluarga siang,4,0,0,0,0;1,-1.5;266.64,0.25;9,1.75;9,-1.5;639.936,1;3,1;7,1.133;21.752,30;54,0;0;0.125,0:30,13:00|11:30|14:00,0,3,10,10,1.167,10,10,1|1,-,agen01;agen02;agen03;agen04,-,0,-,B02,A48,RMK01|NONE,-|-,20;L1|-,-|-,-|-,Chair|-,-|-,Food:2|-,-,1,Hunger,Room:0:0.1;DirtyUtensil:0:1|-
A160,Bersantai siang,1,0,0,0,1;0,-1;711.04,0.25;8,1.75;2,-1;319.968,-1.75;1,1.25;3,1.133;21.752,30;36,0.25;-0.25;0.125,3:00,12:00|11:00|15:00,0,2,8,10,1,10,7.5,1|1,-,-,-,0,-,-,-,RKG01|RTU01,-|R1,20;L1|20;L1,1.67|1.67,-|19,Sofa|Bed,-|-,-|-,-,1,Exhausted,Room:0:0.1|Room:0:0.1
A51,Menonton TV siang,1,0,0,0,1;0,-1;711.04,0.25;8,1.75;2,-1;639.936,1;1,1;3,1.133;21.752,30;36,0;0;0.125,2:00,11:00|10:30|14:00,0,2.5,10,6,0,0,5,1|1,-,agen02,-,0,-,-,-,RKG01|NONE,-|-,20;L1|-,1.67|-,-|-,Sofa|-,E2|-,-|-,-,0,0,Room:0:0.1|-
P47,Mengikuti agen lain jalan di akhir pekan,1,0,1,0,1;0,-2.3;622.16,1;5,1;5,-2.3;639.936,1.5;3,1;6,1.133;13.595,15;30,0.25;-0.25;0.25,0:03,13:30|13:00|15:30,3,5,10,8,1.167,10,10,7|6;7,-,agen01;agen02,-,0,-,-,-,RGS01|NONE,R1|-,20;L1|-,-|-,-|-,-|-,-|-,-|-,-,0,0,Room:0:0.1|-
A36,Pergi jalan ke luar rumah di akhir pekan,1,0,1,0,1;0,-2.3;622.16,1;5,1;5,-2.3;639.936,1.5;3,1;6,1.133;13.595,15;30,0.25;-0.25;0.25,3:00,13:30|13:00|15:30,3,5,10,8,1.167,10,10,7|6;7,P47,agen01;agen02,-,0,-,-,-,RGS01|NONE,R1|-,20;L1|-,-|-,-|-,-|-,-|-,-|-,-,0,0,Room:0:0.1|-
A48,Pergi makan siang di luar rumah,1,0,1,0,1;0,-2.3;622.16,1;5,1.75;5,-2.3;639.936,1.5;3,0;6,1.133;13.595,15;30,0.25;-0.25;0.5,2:00,13:00|12:00|15:00,3,5,10,8,1.167,10,10,7|6;7,-,agen01;agen02;agen03;agen04,-,0,-,B02,A124,RGS01|NONE,R1|-,20;L1|-,-|-,-|-,-|-,-|-,-|-,-,1,Hunger,Room:0:0.1|-
A165,Bersantai sore,1,0,0,0,1;0,-1;711.04,0.25;8,1.75;2,-1;319.968,-1.75;1,1.25;3,1.133;21.752,30;36,0.25;-0.25;0.125,3:00,16:00|15:00|17:00,0,2,8,10,1,10,7.5,1|1,-,-,-,0,-,-,-,RKG01|RKG02,-|-,20;L1|20;L1,1.67|1.67,-|-,Sofa|-,-|-,-|-,-,1,Exhausted,Room:0:0.1|Room:0:0.1
A166,Pergi makan malam di luar rumah,1,0,1,0,1;0,-2.3;622.16,1;5,1.75;5,-2.3;639.936,1.5;3,0;6,1.133;13.595,15;30,0.25;-0.25;0.5,2:00,18:30|18:00|19:00,3,5,10,8,1.167,10,10,7|6;7,-,agen01;agen02;agen03;agen04,-,0,-,B02,A125,RGS01|NONE,R1|-,20;L1|-,-|-,-|-,-|-,-|-,-|-,-,1,Hunger,Room:0:0.1|-
P14,Mengikuti agen03 makan malam,5,0,0,0,0;1,-2;266.64,0;9,1.75;9,-2;746.592,0;5,0;5,0;21.752,30;54,0;0;0.125,0:03,18:30|18:15|19:30,0,3,10,10,1.67,10,10,1|1,-,agen03,-,0,-,P15,-,-,-|-,-|-,-|-,-|-,-|-,-|-,-|-,-,1,Hunger,Room:0:0.1|-
P15,Menunggu agen03 mengambil makan malam,5,0,0,0,0;1,-2;266.64,0.25;9,1.75;9,-2;746.592,1;5,1;5,0;21.752,30;54,0;0;0.125,0:03,18:30|18:15|19:30,0,3,10,10,1.67,10,10,1|1,-,agen03,-,0,-,B02,-,RMK01|RKG02,-|-,20;L1|-,-|-,-|-,Chair|-,-|-,-|-,-,1,Hunger,Room:0:0.1|Room:0:0.1
A125,Makan bersama keluarga malam,4,0,0,0,0;1,-1.5;266.64,0.25;9,1;9,-1.5;639.936,1;3,1;7,1.133;21.752,30;54,0;0;0.125,0:30,19:00|18:30|20:00,0,3,10,10,1.167,10,10,1|1,-,agen01;agen02;agen03;agen04,-,0,-,B02,A166,RMK01|NONE,-|-,20;L1|-,-|-,-|-,Chair|-,-|-,Food:2|-,-,1,Hunger,Room:0:0.1;DirtyUtensil:0:1|-
A110,Menonton bersama keluarga (menggunakan home theater),4,0,0,0,0;1,-1;711.04,0.25;8,1;2,-1;639.936,1;1,1;3,1.133;21.752,30;36,0;0;0.125,3:00,19:00|16:00|22:00,0,3,10,10,1.167,10,10,1|1,-,agen01;agen02;agen03;agen04,-,0,-,-,-,RKG01|NONE,-|-,20;L1|-,1.67|-,-|-,Sofa|-,E2|-,-|-,-,0,0,Room:0:0.1|-
A155,Bermain,5,0,0,0,1;0,-2;266.64,0;9,1;9,-2;746.592,0;5,0;5,0;21.752,30;54,0;0;0.125,2:00,-,0,4.5,10,10,1.67,10,10,1|1,-,agen03,-,0,-,-,-,RKG01|RKG02,-|-,20;L1|20;L1,-|-,-|-,Sofa|-,-|-,-|-,-,0,0,Room:0:0.1|Room:0:0.1
A75,Berdandan setelah mandi,-1,0,0,0,0;1,-1;355.52,0;2,1;2,-1;639.936,0;6,0;8,0;21.752,30;30,0;0;0.125,0:10,-,0,3,10,8,1,10,5,1|1,B07,-,-,0,-,-,-,RTU01|NONE,R1|-,20;L1|-,-|-,19|-,-|-,-|-,-|-,-,1,Dirty,Room:0:0.1|-
B01,Bangun tidur,-1,0,0,1,0;1,-0.9;1066.56,0.25;8,1;9,-0.9;106.656,0;9,0;8,1.133;0,30;0,0;0;0.125,0:05,-,0,0,0,0,0,0,0,1|1,-,-,-,0,-,-,-,RTU01|NONE,R1|-,20;L1|-,-|-,19|-,Bed|-,-|-,-|-,-,1,Sleepy,Room:0:0.1|-
B02,Makan,-1,0,0,1,0;1,-1.5;1066.56,0;8,1;9,-1.5;106.656,0;9,0;8,1.133;0,22.5;0,0;0;0.125,0:15,-,0,0,0,0,0,0,0,1|1,-,-,-,0,-,-,-,RMK01|RKG02,-|-,20;L1|20;L1,-|-,-|-,Chair|-,-|-,Food:2|-,-,1,Hunger,Room:0:0.1;Food:0:-2;DirtyUtensil:0:1|Room:0:0.1;Food:0:-2;DirtyUtensil:0:1
B03,Minum,-1,0,0,1,0;1,-1;1066.56,0;8,1;9,-1;106.656,0;9,0;8,1.133;0,30;0,0;0;0.125,0:05,-,0,0,0,0,0,0,0,1|1,-,-,-,0,-,-,-,RMK01|RDP02,-|-,20;L1|20;L1,-|-,-|-,Chair|Refrigerator,-|-,DrinkWater:0|-,-,1,Thirst,Room:0:0.1;DrinkWater:10:20|Room:0:0.1;DrinkWater:10:20
B04,Tidur,-1,0,0,1,0;1,-0.9;1066.56,0;8,1;9,-0.9;106.656,0;9,0;8,1.133;0,30;0,0;0;0.125,-,-,0,0,0,0,0,0,0,1|1,-,-,-,0,-,B01,-,RTA01|NONE,R1|-,20;L1|-,-|-,19|-,Bed|-,R2|-,-|-,-,1,Sleepy,Room:0:0.1|-
B05,BAK,-1,0,0,1,0;1,-1;1066.56,0;8,1;9,-1;106.656,0;9,0;8,1.133;0,30;0,0;0;0.125,0:05,-,0,0,0,0,0,0,0,1|1,-,-,-,0,-,-,-,RKM02|NONE,R1|-,20;L1|-,0.17|-,-|-,Closet|-,D2|-,Water:3|-,-,1,Urinate,Room:0:0.1;Water:0:-3;Water:11:-0.066|-
B06,BAB,-1,0,0,1,0;1,-1;1066.56,0;8,1;9,-1;106.656,0;9,0;8,1.133;0,30;0,0;0;0.125,0:10,-,0,0,0,0,0,0,0,1|1,-,-,-,0,-,-,-,RKM02|NONE,R1|-,20;L1|-,0.17|-,-|-,Closet|-,D2|-,Water:4.5|-,-,1,Defecate,Room:0:0.1;Water:0:-4.5;Water:11:-0.066|-
B07,Mandi,-1,0,0,1,0;1,-1.5;1066.56,0;8,1;9,-1.5;106.656,0;9,0;8,1.133;0,22.5;0,0;0;0.125,0:10,-,0,0,0,0,0,0,0,1|1,P13,agen02;agen03,-,0,-,A75,-,RDP01|RKM02,-|CC,20;L1|20;L1,-|-,-|-,-|-,-|-,Water:0|Water:0,-,1,Dirty,Room:0:0.1;Water:11:-0.017;DirtyCloth:0:1|Room:0:0.1;Water:11:-0.086;Water:11:-0.089;DirtyCloth:0:1;Gas:11:-0.04
