ID,Multi
A33,1
A04,1
A75,0
A34,1
A155,1
A52,1
A142,1
A160,1
A165,1
A184,0
A82,1
A105,1
A107,1
A169,1
A109,1
A125,1
A122,1
A124,1
A159,0
A59,0
A112,1
A63,1
A60,1
A24,1
A22,1
A47,0
A03,0
A72,1
A76,1
A46,1
P19,1
P12,1
P09,0
P24,0
P27,0
P34,0
A73,1
A167,1
A106,1
A37,1
A38,1
A27,1
A104,1
P18,1
P49,1
P07,1
P05,1
P35,1
P08,1
P23,0
P26,0
P51,0
A42,0
A144,1
A74,1
A171,1
A108,1
A35,0
A119,1
P10,0
P25,0
P06,1
P33,1
P37,1
P38,1
P39,1
P40,1
P41,1
P42,1
P43,1
A56,1
A18,1
A17,1
A77,1
A19,1
A99,1
A101,1
A100,1
A20,1
A98,1
A93,1
A94,1
A95,1
A96,1
A14,1
A102,1
A97,1
A21,1
A168,1
A183,1
A113,0
A123,0
A174,1
A172,1
A173,1
A57,0
A178,0
P47,1
P21,1
P13,0
P22,0
P14,0
A02,1
A78,1
A43,1
A110,1
A164,1
A51,1
P50,0
P15,0
A10,1
A09,1
A80,1
A121,1
A11,1
A90,1
A89,1
A91,1
A12,1
A92,1
A83,1
A84,1
A85,1
A86,1
A05,1
A88,1
A87,1
A13,1
A65,0
A114,1
P11,0
P20,0
A64,1
A32,1
A175,1
A36,1
A129,0
A166,1
A158,1
A48,1
A185,0
P29,1
P30,1
P36,1
P31,1
P28,1
