ID,CanInterrupt,CanBeInterrupted,StartTimeCanStart,EndTimeCanStart,Duration,Plan,Habit,Rules,Exhaust,Sleepy,Dirty,Urinate,Defecate,Energy,Hunger,Thirsty,Ability,Stress,Emotion,Mood,Loneliness,,,,,,,,
BT,0,1,05:00,06:00,10,0,8,0,0,1,1,1,1,0,1,1,-1,1.7,1.4,1.4,0,,,,,,,1,-1
BD,0,1,05:00,06:00,7,0,8,0,0,0,1,1,1,-1,1,1,-1,1.55,1.31,0,0,,,,,,,1,-1
MT1,1,0,05:00,06:00,10,4,0,7.2,1,1,1,1,1,-1,1,1,-1,1.7,1.4,0,0,,,,,,,1,-1
BR1,1,0,05:30,06:30,45,4,0,7.2,1,0,1,1,1,-1,1,1,-1,3.45,2.45,0,0,,,,,,,1,-1
SP,1,0,05:30,06:30,10,0,6,0,1,0,1,1,1,-1,1,1,-1,0,0,0,0,,,,,,,1,-1
M1,1,0,05:30,06:30,10,0,6,0,1,0,1,1,1,-1,1,1,-1,0,0,0,0,,,,,,,1,-1
M2,1,0,05:30,06:30,10,0,6,0,1,0,1,1,1,-1,1,1,-1,0,0,0,0,,,,,,,1,-1
M3,1,0,05:30,06:30,10,0,6,0,1,0,1,1,1,-1,1,1,-1,0,0,0,0,,,,,,,1,-1
M4,1,0,05:30,06:30,10,0,6,0,1,0,1,1,1,-1,1,1,-1,0,0,0,0,,,,,,,1,-1
M5,1,0,05:30,06:30,10,0,6,0,1,0,1,1,1,-1,1,1,-1,0,0,0,0,,,,,,,1,-1
M6,1,0,05:30,06:30,10,0,6,0,1,0,1,1,1,-1,1,1,-1,0,0,0,0,,,,,,,1,-1
M7,1,0,05:30,06:30,10,0,6,0,1,0,1,1,1,-1,1,1,-1,0,0,0,0,,,,,,,1,-1
M8,1,0,05:30,06:30,10,0,6,0,1,0,1,1,1,-1,1,1,-1,0,0,0,0,,,,,,,1,-1
M9,1,0,05:30,06:30,10,0,6,0,1,0,1,1,1,-1,1,1,-1,0,0,0,0,,,,,,,1,-1
M10,1,0,05:30,06:30,10,0,6,0,1,0,1,1,1,-1,1,1,-1,0,0,0,0,,,,,,,1,-1
M11,1,0,05:30,06:30,10,0,6,0,1,0,1,1,1,-1,1,1,-1,0,0,0,0,,,,,,,1,-1
OR,0,1,-1,-1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
MD1,0,0,09:00,10:00,15,0,6,0,-1,0,-1,-1,-1,1,1,-1,-1,1.95,1.55,1.55,1.95,,,,,,,-1,-1
MA1,0,0,09:00,10:00,15,6,0,0,-1,0,-1,-1,-1,-1,1,-1,-1,1.95,1.55,0,1.95,,,,,,,-1,-1
MK1,0,0,07:30,08:30,20,6,0,0,1,0,1,1,1,-1,1,1,-1,2.2,1.7,1,2.2,,,,,,,1,-1
MK2,0,0,07:30,08:30,20,0,8,0,1,1,1,1,1,1,-1,-1,-1,2.2,1.7,2,2.2,,,,,,,-1,-1
MC1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
MC2,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
MC3,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
GS1,0,1,07:30,08:00,30,0,8,0,1,0,1,1,1,-1,1,1,-1,0,0,0,0,,,,,,,1,-1
GS2,0,1,07:30,08:00,15,0,4,0,1,0,1,1,1,-1,1,1,-1,0,0,0,0,,,,,,,1,-1
GS3,0,1,17:00,18:00,30,0,8,0,1,0,1,1,1,-1,1,1,-1,0,0,0,0,,,,,,,1,-1
GS4,0,1,-1,-1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
PG1,0,1,20:00,21:30,60,0,8,0,1,0,1,1,1,-1,1,1,-1,0,0,0,0,,,,,,,1,-1
PG2,0,1,20:00,21:30,30,0,8,0,1,0,1,1,1,-1,1,1,-1,0,0,0,0,,,,,,,1,-1
KJ1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
KJ2,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
KJ3,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
KJ4,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
KJ5,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
KJ6,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
TDS,0,1,14:00,15:00,45,0,4,0,-1,0,1,1,1,1,1,1,-1,3.45,2.45,2.45,3.45,,,,,,,1,-1
MK3,0,0,12:00,13:00,20,6,0,0,1,0,1,1,1,-1,1,1,-1,2.2,1.7,0,2.2,,,,,,,1,-1
MK4,0,0,12:00,13:00,20,0,8,0,1,1,1,1,1,1,-1,-1,-1,2.2,1.7,1.7,2.2,,,,,,,-1,-1
BJ,0,1,-1,-1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
BR2,1,0,16:00,17:00,90,8,0,7.2,1,1,1,1,1,-1,1,1,-1,5.6,3.8,3.8,5.6,,,,,,,1,-1
