Current Activity,B04,,,,
Ability,8,,,,
Weight,54,,,,
EmotionNorm,0.458,,,,
EmotionCurrent,0.534,,,,
RateGood,0.001041667,,,,
RateBad,0.000277778,,,,
Property,Current,Rate,Habit,Effect,Custom
Hunger,2207.92,2649.5|24|0.125:0.25:0.1,06-09;12-15;18-21,883.17;441.58,-
Dirty,4,10|24|0.3:0.15,06-09;15-18,8,-
Thirst,6,10|9|1:0.25,-,10:10;0:0;5:5,-
Energy,1766.32,2649.5|24|0.2:0.025,-,-,-
Exhausted,6,10|18|1:-0.5,-,-,-
Sleepy,4,10|12|0.05:-1,03-06|00-03,-,-
Defecate,9.58,-,06-09,-,441.58;9.58;39.08;0.7355
Urinate,154.5,60,-,337.5:32.5,29700;337.5;32.5
