ID,Decription,Repeat,Auto,Outdoor,BioActivity,Interrupt,Hunger,Dirty,Thirst,Energy,Exhausted,Sleepy,Defecate,Urinate,Emotion,Duration,Start,Priority,Physical_Std,Wish,Advantage,Authority,Obedience,Urgency,Routine,Prerequisite,InteractAgent,FollowerActivity,FollowMovement,Set,Next,Eliminate,Rooms,Door,LightThreshold,Status,Temperature,Device,PostActivity,Resource,InteractAgentStatus,UrgencyType,UrgencyValue,Effect
A131,Bersepeda,1,0,1,0,1;0,-3.8;924.23,1;7,1.75;7,-3.8;950.64,1.5;8,1.5;7,2.719;13.595,7.5;30,0;0;0.625,1:00,6:00,4,6.5,8,6,1,5,5,7|6;7,-,-,-,0,-,-,-,RGS01|NONE,R1|-,100;CC|-,5|5,-|-,-|-,R2|-,-|-,-,0,0,-|-
P23,Minum susu pagi,1,0,0,0,0;1,-1;396.094,0.1;9,0;9,-1;792.2,1;5,1;5,2.719;21.752,30;54,0;0;0,0:20,7:10,0,3,8,8,1.2,10,10,1|1,A26,agen01,-,0,S03-C,-,-,-,-|-,-|-,-|-,-|-,-|-,-|-,-|-,-,0,0,Room:0:0.1|-
A156,Bermain dengan agen01 di pagi hari,2,0,0,0,0;1,-2.5;792.196,1;6,1.5;4,-2.5;475.32,1.25;2,1.5;2,2.719;21.752,15;48,0.05;-0.025;0.229,4:30,8:05,0,3,10,10,1,7.5,10,1|1,-,agen01,-,0,S06-M,-,-,RTM01|RKG01,-|-,100;L1|100;L1,5|5,-|27,-|-,-|-,-|-,-,0,0,Room:0:0.5|Room:0:0.5
P13,Mengikuti agen01/02 untuk mandi pagi,1,0,0,0,0;1,-1;396.094,0;9,0.5;9,-1;1109.08,0.1;5,0.1;5,2.719;21.752,30;54,0;0;0.125,0:05,8:20,0,3,8,8,1.2,7.5,7.5,7|6;7,-,agen01;agen02,-,0,S05-C,B07,-,-,-|-,-|-,5|5,-|-,-|-,-|-,-|-,-,0,0,Room:0:0.1|-
A77,Bersantai pagi,1,0,0,0,1;0,-1;1056.264,0.25;8,1;2,-1;475.32,1;1,1.5;3,2.719;21.752,30;36,0.05;-0.025;0.125,3:00,10:00,0,2,8,6,1,5,5,7|6;7,-,-,-,0,-,-,-,RKG01|RTU01,-|R1,100;L1|100;L1,5|5,27|27,Sofa|Bed,L2;E2|R2;L2;E2,-|-,-,1,Exhausted,Room:0:0.1|Room:0:0.1;Fan:1:0
A54,Pergi jalan ke sekitar rumah,1,0,1,0,1;0,-2.3;924.23,0.25;5,1.75;5,-2.3;950.64,1;3,1;6,2.719;13.595,15;30,0;0;0.625,1:00,12:00,4,5,8,6,1,5,5,7|6;7,-,agen01;agen02,-,0,-,-,-,RGS01|NONE,R1|-,100;CC|-,5|5,-|-,-|-,R2|-,-|-,-,0,0,-|-
A66,Menonton TV malam,2,0,0,0,1;0,-1;1056.264,0.25;8,1;2,-1;950.64,1;1,1.5;3,2.719;21.752,30;36,0.025;-0.025;0.25,6:00,17:00,0,2.5,6,6,1,5,5,1|1,-,-,-,0,-,-,-,RKG01|NONE,-|-,100;L1|-,5|5,27|-,Sofa|-,L2;E2|-,-|-,-,0,0,Room:0:0.1;TV:1:0.029|-
P24,Minum susu malam,1,0,0,0,0;1,-1;396.094,0;9,0.5;9,-1;792.2,0.1;5,0.1;5,2.719;21.752,30;54,0;0;0.25,0:20,17:05,0,3,8,8,1.2,10,10,1|1,A68,agen02,-,0,S03-C,-,-,-,-|-,-|-,-|-,-|-,-|-,-|-,-|-,-,0,0,Room:0:0.1|-
A36,Pergi jalan ke luar rumah di akhir pekan,1,0,1,0,1;0,-2.3;924.23,0.25;5,1.75;5,-2.3;950.64,1.25;3,1;6,2.719;13.595,15;30,0.05;-0.025;0.5,2:00,18:00,4,5,10,6,1,5,5,7|6;7,-,agen01;agen02,-,0,-,-,-,RGS01|NONE,R1|-,100;L1|-,5|5,-|-,-|-,R2|-,-|-,-,0,0,Room:0:0.1|-
P14,Mengikuti agen01/02 makan malam,2,0,0,0,0;1,-1;396.094,0;9,0.5;9,-1;1109.08,0.1;5,0.1;5,2.719;21.752,30;54,0;0;0.5,0:05,18:05,0,3,5,8,0,0,5,1|1,-,agen01;agen02,-,0,S08-C,P15,-,RKG01|NONE,-|-,100;L1|-,5|5,-|-,-|-,-|-,-|-,-,0,0,Room:0:0.1|-
