Day,Hour,RTU01,RKG01,RGS01,RKM02,RDP02,RGD01,RKM03,RBK01,RTU02,RKM01,RTG01,RDP01,RTD01,RTD02,RTD03,RKJ01,RTG02,RKM04,RTG01,RTG02
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,6.73,8.03,5.03,0.42,7.69,0.01,0.03,0.23,0.02,0.61,0.89,15.66,17.69,18.08,12.85,30.75,6.62,0.07,0.89,6.62
1,7,101.78,288.33,322.39,6.21,79.51,0.33,0.57,4.79,1.43,10.85,25.91,205.49,448.71,206.66,323.94,541.49,72.31,1.34,25.91,72.31
1,8,130.42,232.58,175.26,7.02,108.27,0.36,0.6,7.09,0.61,10.24,20.88,270.05,418.36,265.98,306.99,540.12,92.11,1.55,20.88,92.11
1,9,179.04,270.57,140.64,9.04,162.1,0.68,0.97,7.99,0.93,16.83,27.7,376.79,499.15,318.3,346.1,613.36,115.08,2.54,27.7,115.08
1,10,191.94,256.62,183.19,10,201.55,0.61,1.06,8.45,0.54,17.8,29.02,451.43,490.77,367.76,352.4,668.75,134.5,2.84,29.02,134.50
1,11,205.59,241.24,159.18,10.76,223.4,0.22,1.55,9.95,0.78,19.7,33.63,691.28,548.51,432.25,354.82,728.71,142.72,4.78,33.63,142.72
1,12,191.05,214.55,167.08,10.53,244.67,0.52,1.2,6.96,0.56,21.32,26.65,509.96,469.24,440.88,335.18,756.69,160.77,3.23,26.65,160.77
1,13,241.42,211.37,179.04,11.95,256.67,0.41,2.95,9.33,1,20.34,33.97,662.89,504.73,475.36,346.97,778.42,157.68,5.86,33.97,157.68
1,14,33.39,41.26,25.46,1.38,38.44,0.14,0.16,1.17,0.09,4.11,4.57,81.16,90.37,92.46,64.92,157.24,34.46,0.39,4.57,34.46
1,15,25.83,31.17,18.76,1.22,29.63,0.01,0.11,0.97,0.06,2.38,3.62,61.68,69.55,70.5,49.99,120.89,26.68,0.29,3.62,26.68
1,16,98.01,90.23,70.11,5.1,107.04,0.41,0.82,3.17,0.31,9.95,11.47,288.68,221.22,256.49,178.93,416.45,94.68,2.02,11.47,94.68
1,17,64.23,57.28,52.1,4.22,80.53,0.15,0.66,2.25,0.13,6.9,7.05,240.85,144.85,183.15,123.55,281.35,59.41,1.58,7.05,59.41
1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
