ID,Multi
A01,1
A02,1
A04,1
A05,1
A06,1
A10,1
A11,1
A12,1
A14,1
A15,1
A18,1
A19,1
A20,1
A22,0
A24,1
A25,1
A26,0
A27,1
A29,0
A30,0
A33,1
A35,1
A36,1
A37,0
A40,0
A41,1
A42,0
A43,1
A45,0
A45,1
A54,1
A55,1
A56,1
A60,0
A61,1
A62,1
A63,1
A64,0
A66,1
A67,1
A68,1
A69,0
A70,0
A71,1
A73,1
A74,1
A75,1
A76,1
A77,1
A78,1
A79,1
A103,1
A104,0
A111,0
A113,0
A119,1
A127,1
A128,1
A129,1
A130,1
A131,1
A132,1
A133,1
A134,1
A135,1
A136,1
A137,1
A138,1
A139,1
A140,1
A141,1
A142,1
A143,1
A144,1
A145,1
A146,1
A147,1
A148,1
A149,1
A150,1
A151,1
A152,1
A153,1
A154,1
A155,1
A156,1
A157,1
A158,0
A179,0
P01,1
P02,0
P03,0
P04,0
P05,1
P06,1
P07,1
P08,0
P09,0
P10,0
P11,0
P12,1
P13,0
P14,1
P15,1
P23,1
P24,1
