Day,Hour,RGS01,RGD01,RTU02,RTU01,RKM01,RKM02,RDP02,RDP01,RBK01,RKG01,RKM03,RTD01,RTD02,RTD03,RKM04,RKJ01,RTG01,RTG02
1,0,27.03,27.17,26.91,26.95,26.72,27.44,27.39,25.89,26.02,27.31,27.33,27.58,27.69,28.06,27.95,27.62,28.44,28.44
1,1,26.87,27.08,26.79,26.86,26.6,27.42,27.31,25.65,25.9,27.23,27.2,27.31,27.4,27.84,27.69,27.38,28.20,28.20
1,2,26.7,26.98,26.67,26.76,26.46,27.39,27.22,25.4,25.76,27.14,27.06,27.03,27.11,27.6,27.44,27.13,27.96,27.96
1,3,26.55,26.89,26.55,26.67,26.33,27.36,27.13,25.17,25.62,27.06,26.93,26.76,26.83,27.38,27.19,26.89,27.72,27.72
1,4,26.39,26.79,26.42,26.57,26.21,27.32,27.03,24.95,25.49,26.97,26.79,26.5,26.56,27.14,26.94,26.65,27.48,27.48
1,5,26.27,26.7,26.31,26.48,26.11,27.28,26.94,25.03,25.5,26.88,26.66,26.31,26.36,26.96,26.72,26.49,27.28,27.28
1,6,26.28,26.63,26.24,26.42,26.09,27.23,26.87,25.92,25.84,26.83,26.56,26.6,26.63,27.19,26.79,26.9,27.43,27.43
1,7,26.39,26.59,26.24,26.39,26.15,27.19,26.85,26.61,26.28,26.82,26.51,27.31,27.2,27.69,27.18,27.59,27.94,27.94
1,8,26.62,26.61,26.3,26.4,26.29,27.15,26.88,27.56,26.73,26.85,26.52,28.42,28.05,28.47,27.93,28.58,28.78,28.78
1,9,26.91,26.67,26.47,26.49,26.53,27.14,26.95,29.17,27.49,26.93,26.6,29.73,29.09,29.39,28.9,29.75,29.77,29.77
1,10,27.22,26.8,26.8,26.75,26.93,27.14,27.07,31.59,28.63,27.04,26.76,31.08,30.23,30.38,29.94,30.97,30.84,30.84
1,11,27.5,26.99,27.21,27.11,27.4,27.16,27.22,32.59,29.37,27.16,27,31.95,31.01,31.07,30.68,31.8,31.56,31.56
1,12,27.75,27.19,27.53,27.33,27.71,27.21,27.41,34.02,30.18,27.32,27.28,32.48,31.58,31.58,31.2,32.35,32.03,32.03
1,13,28.01,27.36,27.73,27.44,27.85,27.26,27.58,30.55,28.53,27.46,27.6,32.05,31.27,31.2,31.12,31.8,31.75,31.75
1,14,28.16,27.48,27.81,27.47,27.84,27.31,27.69,29.51,28,27.55,27.83,31,30.33,30.3,30.6,30.58,30.98,30.98
1,15,28.15,27.54,27.83,27.48,27.8,27.35,27.75,30.02,28.38,27.61,27.92,30.69,30.13,30.16,30.43,30.33,30.81,30.81
1,16,28.17,27.59,27.82,27.48,27.75,27.39,27.78,29.83,28.11,27.64,27.98,30.73,30.31,30.34,30.47,30.5,30.93,30.93
1,17,28.25,27.61,27.79,27.46,27.67,27.43,27.8,28.45,27.24,27.66,28.02,30.3,30.21,30.02,30.22,30.06,30.64,30.64
1,18,28.2,27.61,27.71,27.41,27.54,27.47,27.79,27.83,26.9,27.66,28,29.65,29.83,29.5,29.79,29.39,30.09,30.09
1,19,28.02,27.57,27.59,27.35,27.41,27.49,27.76,27.44,26.73,27.64,27.93,29.17,29.39,29.16,29.41,28.95,29.70,29.70
1,20,27.81,27.5,27.46,27.29,27.27,27.51,27.72,27.06,26.57,27.6,27.84,28.8,28.99,28.92,29.09,28.64,29.42,29.42
1,21,27.6,27.43,27.32,27.21,27.13,27.51,27.65,26.73,26.43,27.54,27.72,28.47,28.64,28.72,28.79,28.37,29.18,29.18
1,22,27.4,27.35,27.18,27.13,26.99,27.51,27.58,26.43,26.29,27.48,27.6,28.17,28.31,28.52,28.51,28.13,28.95,28.95
1,23,27.21,27.27,27.05,27.05,26.85,27.5,27.5,26.15,26.16,27.4,27.48,27.88,28,28.31,28.25,27.89,28.72,28.72
2,0,27.03,27.18,26.92,26.96,26.72,27.48,27.41,25.88,26.02,27.32,27.34,27.6,27.7,28.09,27.98,27.65,28.48,28.48
2,1,26.85,27.09,26.79,26.86,26.58,27.45,27.32,25.63,25.89,27.24,27.2,27.32,27.41,27.87,27.72,27.41,28.25,28.25
2,2,26.69,26.99,26.66,26.77,26.45,27.42,27.23,25.42,25.77,27.16,27.06,27.06,27.13,27.65,27.47,27.18,28.02,28.02
2,3,26.54,26.89,26.54,26.67,26.32,27.39,27.14,25.24,25.66,27.07,26.92,26.81,26.88,27.44,27.22,26.96,27.79,27.79
2,4,26.39,26.79,26.42,26.57,26.2,27.35,27.05,25.09,25.58,26.98,26.79,26.58,26.64,27.24,26.99,26.76,27.58,27.58
2,5,26.28,26.7,26.31,26.48,26.11,27.3,26.96,25.17,25.62,26.9,26.66,26.42,26.46,27.08,26.8,26.62,27.40,27.40
2,6,26.23,26.63,26.24,26.4,26.08,27.25,26.88,25.84,25.98,26.83,26.55,26.54,26.57,27.2,26.78,26.85,27.44,27.44
2,7,26.29,26.6,26.23,26.37,26.13,27.21,26.85,26.7,26.45,26.81,26.5,27.01,27,27.6,27.01,27.41,27.75,27.75
2,8,26.45,26.61,26.3,26.39,26.27,27.17,26.87,27.69,27.01,26.83,26.51,27.78,27.65,28.2,27.51,28.19,28.33,28.33
2,9,26.69,26.68,26.46,26.46,26.49,27.15,26.93,28.99,27.68,26.89,26.59,28.76,28.48,28.95,28.24,29.15,29.05,29.05
2,10,26.97,26.8,26.73,26.64,26.8,27.14,27.02,30.23,28.41,26.98,26.73,29.66,29.28,29.63,28.97,29.99,29.70,29.70
2,11,27.25,26.96,27.05,26.86,27.14,27.15,27.13,31.31,29.04,27.07,26.94,30.36,29.95,30.19,29.61,30.66,30.23,30.23
2,12,27.52,27.13,27.33,27.02,27.41,27.17,27.27,32.2,29.6,27.19,27.17,30.96,30.57,30.72,30.17,31.27,30.71,30.71
2,13,27.82,27.32,27.58,27.15,27.63,27.21,27.43,32.54,29.93,27.33,27.44,31.44,31.1,31.15,30.66,31.74,31.11,31.11
2,14,28.15,27.49,27.79,27.27,27.8,27.27,27.62,31.75,29.56,27.5,27.74,31.53,31.27,31.23,30.89,31.76,31.21,31.21
2,15,28.42,27.63,27.96,27.36,27.9,27.32,27.76,30.78,28.94,27.62,28,31.25,31.12,30.97,30.9,31.34,31.04,31.04
2,16,28.54,27.73,28.05,27.43,27.94,27.38,27.84,29.81,28.36,27.7,28.16,30.8,30.77,30.57,30.75,30.72,30.75,30.75
2,17,28.5,27.78,28.05,27.46,27.89,27.43,27.88,28.88,27.84,27.74,28.22,30.29,30.32,30.13,30.48,30.11,30.40,30.40
2,18,28.35,27.78,27.98,27.45,27.78,27.47,27.88,28.28,27.52,27.74,28.2,29.8,29.84,29.76,30.11,29.61,30.03,30.03
2,19,28.16,27.75,27.86,27.41,27.63,27.5,27.85,27.79,27.27,27.72,28.15,29.4,29.44,29.48,29.77,29.25,29.74,29.74
2,20,27.94,27.69,27.72,27.35,27.47,27.52,27.8,27.33,27.03,27.69,28.06,29.02,29.06,29.23,29.44,28.93,29.49,29.49
2,21,27.72,27.62,27.56,27.27,27.3,27.53,27.74,26.91,26.8,27.63,27.94,28.67,28.7,28.98,29.12,28.62,29.24,29.24
2,22,27.5,27.54,27.4,27.19,27.13,27.54,27.67,26.52,26.59,27.57,27.81,28.31,28.35,28.72,28.8,28.31,28.99,28.99
2,23,27.28,27.44,27.24,27.1,26.95,27.53,27.59,26.15,26.37,27.49,27.66,27.97,28,28.46,28.48,28.01,28.74,28.74
3,0,27.06,27.34,27.06,26.99,26.77,27.52,27.49,25.78,26.14,27.4,27.5,27.62,27.65,28.19,28.16,27.7,28.48,28.48
3,1,26.84,27.22,26.89,26.88,26.58,27.49,27.39,25.44,25.93,27.3,27.34,27.27,27.29,27.91,27.83,27.39,28.21,28.21
3,2,26.66,27.11,26.74,26.77,26.44,27.46,27.28,25.2,25.77,27.2,27.18,26.96,26.98,27.64,27.53,27.1,27.95,27.95
3,3,26.49,26.99,26.59,26.66,26.29,27.42,27.18,24.98,25.62,27.11,27.01,26.69,26.71,27.41,27.26,26.87,27.72,27.72
3,4,26.29,26.85,26.42,26.52,26.11,27.38,27.07,24.69,25.42,27,26.83,26.38,26.39,27.14,26.95,26.59,27.46,27.46
3,5,26.14,26.73,26.27,26.4,25.97,27.33,26.96,24.72,25.39,26.89,26.66,26.14,26.15,26.92,26.69,26.39,27.22,27.22
3,6,26.13,26.64,26.17,26.32,25.93,27.28,26.87,25.5,25.6,26.82,26.53,26.41,26.4,27.11,26.71,26.77,27.35,27.35
3,7,26.28,26.58,26.14,26.28,25.98,27.23,26.85,25.9,25.74,26.82,26.46,27.31,27.1,27.67,27.18,27.57,27.99,27.99
3,8,26.62,26.58,26.2,26.29,26.16,27.19,26.88,26.92,26.11,26.87,26.46,28.85,28.2,28.63,28.21,28.81,29.16,29.16
3,9,27.02,26.63,26.38,26.39,26.49,27.17,26.97,29.05,27.07,26.97,26.52,30.57,29.44,29.7,29.47,30.16,30.46,30.46
3,10,27.4,26.77,26.79,26.78,27.04,27.18,27.09,31.66,28.5,27.08,26.68,32,30.51,30.63,30.56,31.33,31.59,31.59
3,11,27.69,26.97,27.29,27.23,27.61,27.2,27.27,33.84,29.81,27.23,26.94,32.96,31.37,31.4,31.34,32.26,32.39,32.39
3,12,27.96,27.21,27.66,27.5,27.98,27.25,27.46,35.1,30.65,27.39,27.28,33.51,32.03,32.01,31.84,32.95,32.90,32.90
3,13,28.34,27.46,27.93,27.65,28.21,27.31,27.69,35.45,31.19,27.57,27.7,33.71,32.45,32.36,32.14,33.3,33.14,33.14
3,14,28.86,27.72,28.17,27.78,28.38,27.39,27.95,35.04,31.19,27.79,28.21,33.66,32.73,32.48,32.27,33.36,33.17,33.17
3,15,29.48,27.94,28.36,27.88,28.49,27.48,28.17,34.19,30.5,27.99,28.72,33.35,32.87,32.37,32.23,33.09,33.02,33.02
3,16,30.01,28.1,28.47,27.96,28.52,27.57,28.34,32.78,29.23,28.13,29.09,32.73,32.86,31.97,31.96,32.46,32.62,32.62
3,17,30.23,28.22,28.5,28,28.45,27.67,28.44,31.18,28.25,28.22,29.25,31.81,32.57,31.25,31.44,31.45,31.97,31.97
3,18,30.07,28.26,28.43,27.99,28.33,27.75,28.47,30.27,27.83,28.25,29.27,31.04,31.99,30.72,30.95,30.69,31.37,31.37
3,19,29.72,28.25,28.31,27.94,28.16,27.82,28.46,29.51,27.55,28.25,29.19,30.5,31.34,30.41,30.54,30.23,30.98,30.98
3,20,29.33,28.21,28.15,27.85,27.96,27.88,28.42,28.82,27.3,28.21,29.08,30.05,30.76,30.18,30.18,29.87,30.66,30.66
3,21,28.94,28.13,27.97,27.76,27.76,27.92,28.35,28.19,27.06,28.16,28.93,29.63,30.23,29.94,29.83,29.53,30.37,30.37
3,22,28.58,28.04,27.79,27.66,27.55,27.94,28.27,27.59,26.81,28.09,28.76,29.22,29.73,29.68,29.49,29.19,30.08,30.08
3,23,28.24,27.93,27.61,27.54,27.34,27.95,28.17,27.06,26.58,28,28.57,28.81,29.25,29.4,29.15,28.84,29.78,29.78
4,0,27.92,27.82,27.42,27.42,27.14,27.95,28.06,26.58,26.35,27.89,28.36,28.42,28.8,29.12,28.8,28.5,29.47,29.47
4,1,27.61,27.69,27.23,27.29,26.94,27.93,27.94,26.15,26.14,27.78,28.15,28.03,28.36,28.81,28.46,28.16,29.15,29.15
4,2,27.33,27.55,27.04,27.16,26.74,27.9,27.81,25.76,25.93,27.66,27.94,27.66,27.95,28.52,28.12,27.84,28.85,28.85
4,3,27.12,27.43,26.89,27.04,26.61,27.86,27.68,25.55,25.82,27.55,27.74,27.38,27.63,28.26,27.83,27.59,28.58,28.58
4,4,26.92,27.3,26.74,26.92,26.49,27.81,27.56,25.39,25.76,27.44,27.54,27.14,27.35,28.04,27.56,27.38,28.33,28.33
4,5,26.74,27.18,26.6,26.8,26.36,27.76,27.44,25.44,25.79,27.33,27.35,26.92,27.11,27.84,27.32,27.21,28.10,28.10
4,6,26.66,27.08,26.5,26.71,26.3,27.71,27.34,26.14,26.06,27.24,27.18,27.11,27.26,27.99,27.31,27.52,28.19,28.19
4,7,26.72,27.01,26.46,26.66,26.31,27.65,27.29,26.63,26.31,27.21,27.08,27.75,27.76,28.42,27.65,28.15,28.64,28.64
4,8,26.96,27,26.52,26.66,26.48,27.61,27.29,27.49,26.62,27.23,27.06,28.91,28.61,29.18,28.41,29.14,29.53,29.53
4,9,27.27,27.05,26.69,26.76,26.76,27.58,27.35,29.24,27.39,27.3,27.1,30.32,29.64,30.08,29.45,30.29,30.55,30.55
4,10,27.6,27.16,27.05,27.07,27.24,27.57,27.44,31.32,28.54,27.39,27.23,31.51,30.54,30.85,30.38,31.27,31.44,31.44
4,11,27.87,27.33,27.48,27.45,27.73,27.58,27.56,32.76,29.49,27.49,27.44,32.22,31.16,31.39,31,31.93,32.00,32.00
4,12,28.11,27.53,27.79,27.67,28.05,27.61,27.72,33.5,30.04,27.62,27.71,32.57,31.59,31.76,31.39,32.34,32.28,32.28
4,13,28.42,27.73,28.04,27.8,28.26,27.65,27.89,33.75,30.45,27.77,28.03,32.74,31.92,32.02,31.67,32.62,32.45,32.45
4,14,28.82,27.93,28.25,27.91,28.42,27.7,28.07,33.74,30.63,27.93,28.4,32.81,32.21,32.18,31.86,32.75,32.55,32.55
4,15,29.3,28.1,28.41,28.01,28.51,27.76,28.26,32.83,29.95,28.09,28.79,32.57,32.32,32.07,31.85,32.52,32.43,32.43
