ID,Description
BT,Bangun tidur di pagi hari
BD,Berdoa setelah bangun
MT1,Menyiram tanaman di pagi
BR1,Berkebun
SP,Membuang sampah
M1,Membersihkan teras
M2,Membersihkan Ruang tamu  
M3,Membersihkan Ruang
M4,Membersihkan Ruang Tidur 
M5,Membersihkan Ruang Tidur
M6,Membersihkan Ruang Tidur
M7,Membersihkan dapur
M8,Membersihkan ruang
M9,Membersihkan gudang
M10,Membersihkan Ruang Cuci
M11,Membersihkan Kamar
OR,Olahraga pagi
MD1,Mandi di pagi hari
MA1,Memandikan anak di pagi
MK1,Menyuapi anak makan pagi
MK2,Makan pagi
MC1,Membaca koran
MC2,Membaca buku
MC3,Membaca e-book (gadget)
GS1,Memasak dengan gas
GS2,Memasak di pagi dg. rice cooker/microwave/oven
GS3,Memasak di sore dengan
GS4,Memasak di sore dg. rice cooker/microwave/oven
PG1,Mencuci piring dan gelas
PG2,Mencuci peralatan masak
KJ1,Berangkat kerja
KJ2,Bekerja di rumah
KJ3,Pulang kerja
KJ4,Les / homeshooling
KJ5,Belajar/bekerja dg. komputer
KJ6,Belajar/bekerja tanpa komputer
TDS,Tidur siang
MK3,Menyuapi anak makan
MK4,Makan siang
BJ,Belanja
BR2,Berkebun
MT2,Menyiram tanaman di sore
GR,Memarkir kendaraan di
MB12,Membersihkan rumah di
MD2,Mandi di sore hari
MA2,Memandikan anak di sore
CC1,Mencuci baju konvensional
CC2,Menggunakan mesin cuci
CC4,Menjemur pakaian
CC5,Mengangkat jemuran
CP1,Meletakkan pakaian kotor sebelum mandi
CP2,Meletakkan pakaian kotor 
CP3,Mengambil pakaian bersih sebelum mandi
CP4,Mengambil pakaian bersih setelah mandi
CY1,Menyetrika pakaian di pagi 
CY2,Menyetrika pakaian di siang 
CY3,Menyetrika pakaian di sore 
CY4,Menyetrika pakaian di 
CY5,Menyimpan pakaian di 
MK5,Menyuapi anak makan 
MK6,Makan malam
BP,Berpakaian dan berdandan (berkaca/sisir/makeup/pera
MG1,"Menulis tanpa gadget (diluar jam les/HS, "
MG2,"Menulis dg. gadget (diluar jam les/HS, mengerjakan "
MG3,"Menggambar tanpa gadget (diluar jam les/HS, "
MG4,"Menggambar dg. gadget (diluar jam les/HS, "
MG5,Menggunakan Printer dan 
MG8,Belajar / menyelesaikan PR (diluar waktu les/HS)
MG9,Menyelesaikan tugas kantor (diluar jam kerja)
TDM,Tidur malam 
TD,Tidur (diluar waktu tidur 
TO,Toilet (hanya BAK/BAB)
MD,Mandi (diluar waktu mandi pagi dan sore)
BK,Bercukur
MK,"Makan (diluar waktu makan pagi, siang, malam)"
MN1,Minum setelah makan pagi
MN2,Minum setelah makan siang
MN3,Minum setelah makan 
MN4,"Minum (diluar waktu makan pagi, siang, malam)"
MP,Mengganti lampu 
BS,Bersantai (waktu 
GD1,Mengisi ulang daya gadget 
GD2,Mengoperasikan gadget 
RD,Mendengarkan radio (waktu ditentukan 
TV,Menonton TV (waktu ditentukan responden)
BM1,Mengawasi anak/adik bermain (waktu ditentukan 
BM2,Bermain (waktu ditentukan 
MT,Menerima tamu (insidensial atau ada waktu 
KS,Kegiatan sosial (berlangsung di rumah 
IB,Ibadah (di rumah 
BL,Menggunakan blender
GL,Mengganti galon
