ID,Description,Repeat,Auto,Outdoor,BioActivity,Hunger,Dirty,Thirst,Defecate,Urinate,Energy,Exhausted,Sleepy,Emotion,Duration,Start,Priority,Physical_Std,Wish,Advantage,Authority,Obedience,Urgency,Routine,Prequisite,Rooms,Room2,LightThreshold,Status,Temperature,Device
A01,Memasak makan pagi dengan rice cooker 2,1,1,0,0,-2;-2;5,0.4;0.4;8,0;0;4,1.75;1.75;8,22.5;22.5;8,-2;-2;6,1.05;1.05;2,0.5;0.5;2,0.003;-0.6;0.8,11:00,05:00,0,6.5,5,7,1,5,5,1|1,-,RDP01,-,150,2,-1,RCooker
A02,Mematikan rice cooker 2,1,0,0,0,-1;-1;9,0.1;0.1;9,0;0;9,1;1;8,30;30;9,-1;-1;7,0;0;3,0;0;7,0.003;-0.6;0.8,00:03,16:00,0,3,2,6,1,10,5,1|1,A01,RMK01,-,150,1,-1,RCooker
A03,Menghidupkan pompa 1,1,1,0,0,-1;-1;9,0.1;0.1;9,0;0;9,1;1;8,30;30;9,-1;-1;3,0;0;3,0;0;7,0.003;-0.6;0.8,00:30,05:00,0,3,2,8,1,10,5,1|1,-,RTS01,-,150,1,-1,Pompa
A04,Mematikan pompa 1,1,0,0,0,-2;-2;9,0.2;0.2;9,0;0;9,1.75;1.75;8,22.5;22.5;9,-2;-2;3,0;0;3,0;0;7,0.005;-0.1;0.8,00:03,05:30,0,6.5,2,8,1,10,5,1|1,A03,RTS01,-,150,1,-1,Pompa
A05,Menghidupkan pompa 2,1,1,0,0,-1;-1;9,0.1;0.1;9,0;0;9,1;1;8,30;30;9,-1;-1;3,0;0;3,0;0;7,0.003;-0.6;0.8,03:00,06:00,0,3,2,8,1,10,5,1|1,-,RMK01,-,150,1,-1,Pompa
A06,Mematikan pompa 2,1,0,0,0,-1;-1;9,0.1;0.1;9,0;0;9,1;1;8,30;30;9,-1;-1;3,0;0;3,0;0;7,0.003;-0.6;0.8,00:03,09:00,0,3,2,8,1,10,5,1|1,A05,RMK01,-,150,1,-1,Pompa
A07,Menghidupkan pompa 2,1,1,0,0,-1;-1;9,0.1;0.1;9,0;0;9,1;1;8,30;30;9,-1;-1;3,0;0;3,0;0;7,0.003;-0.6;0.8,00:30,06:00,0,2,2,8,1,10,5,7|6;7,-,RMK01,-,150,1,-1,Pompa
A08,Mematikan pompa 2,1,0,0,0,-1;-1;9,0.1;0.1;9,0;0;9,1;1;8,30;30;9,-1;-1;3,0;0;3,0;0;7,0.003;-0.6;0.8,00:03,06:30,0,2,2,8,1,10,5,7|6;7,A07,RMK01,-,150,1,-1,Pompa
A09,Menyapu Ruang Cuci,2,0,0,0,-3.3;-3.3;9,0.4;0.4;9,1.3;1.3;9,1.25;1.25;8,7.5;7.5;9,-3.3;-3.3;6,1.15;1.15;3,0.15;0.15;7,0.005;-0.1;0.9,00:10,06:33,0,5.5,2,5,1,4,3,1|1,-,RCC01,-,150,1,-1,-
A10,Menyapu Ruang Makan,2,0,0,0,-3.3;-3.3;9,0.4;0.4;9,1.3;1.3;9,1.25;1.25;8,7.5;7.5;9,-3.3;-3.3;6,1.15;1.15;3,0.15;0.15;7,0.005;-0.1;0.9,00:04,06:43,0,5.5,2,8,1,4,3,1|1,-,RMK01,-,150,1,-1,-
A11,Menyapu Dapur,2,0,0,0,-3.3;-3.3;9,0.4;0.4;9,1.3;1.3;9,1.25;1.25;8,7.5;7.5;9,-3.3;-3.3;6,1.15;1.15;3,0.15;0.15;7,0.005;-0.1;0.9,00:09,06:48,0,5.5,2,8,1,4,3,1|1,-,RDP01,-,150,1,-1,-
A12,Menyapu Gudang,2,0,0,0,-3.3;-3.3;9,0.4;0.4;9,1.3;1.3;9,1.25;1.25;8,7.5;7.5;9,-3.3;-3.3;6,1.15;1.15;3,0.15;0.15;7,0.005;-0.1;0.9,00:06,06:57,0,5.5,2,2,1,4,3,1|1,-,RGD01,-,150,1,-1,-
A13,Menyapu Koridor,2,0,0,0,-3.3;-3.3;9,0.4;0.4;9,1.3;1.3;9,1.25;1.25;8,7.5;7.5;9,-3.3;-3.3;6,1.15;1.15;3,0.15;0.15;7,0.005;-0.1;0.9,00:03,07:03,0,5.5,2,6,1,4,3,1|1,-,RKD01,-,150,1,-1,-
