Current Activity,B04,,,,
Ability,8.875,,,,
Weight,60,,,,
Property,Current,Rate,Habit,Effect,Custom
Hunger,1576.15,1891.4|24|0.125:0.25:0.1,06-08;12-14;18-20,1164.58:232.926;931.66:465.83,1576.15;630.46
Dirty,2,10|24|0.15:0.3,07-08;17;18;19;17-19,8,-
Thirst,2,10|6|1:0.25,09;12-13,8:8;10:10;10:4,-
Energy,1260.92,1891.4|24|0.2:0.025,-,-,-
Exhausted,6,10|12|1:-0.5,-,-,-
Sleepy,6,10|24|0.25:-1,04-07|00;22-23,-,-
Defecate,-,-,05-08,8;10,105.08;19.164;39.08;0.7355
Urinate,-,60,-,275:55;0:100,33000;55;55
