Current Activity,B04,,,,
Ability,8,,,,
Weight,90,,,,
EmotionNorm,0.667,,,,
EmotionCurrent,0.778166666666667,,,,
RateGood,0.000451388888889,,,,
RateBad,0.000231481481481,,,,
NonIndependentAct,A04,,,,
Property,Current,Rate,Habit,Effect,Custom
Hunger,1962.4,2943.6|24|0.5:0.25:0.125,06-09;12-15;18-21,981.20;2453.00,-
Dirty,0,10|24|0.3:0.15,06-09;15-18,8,-
Thirst,2,10|9|1:0.25,-,10:10;0:0;5:5,-
Energy,1962.4,2943.6|24|0.2:0.025,-,-,-
Exhausted,4,10|12|1:-0.5,-,-,-
Sleepy,4,10|12|0.05:-1,03-06|18-21,-,-
Defecate,-,-,06-09,-,1962.4;7.71;62.87;0.7355
Urinate,55,60,-,275:55,49500;55;55
