ID,Description,Repeat,Auto,Outdoor,BioActivity,Interrupt,Hunger,Dirty,Thirst,Energy,Exhausted,Sleepy,Defecate,Urinate,Emotion,Duration,Start,Priority,Physical_Std,Wish,Advantage,Authority,Obedience,Urgency,Routine,Prerequisite,InteractAgent,FollowerActivity,FollowMovement,Set,Next,Eliminate,Rooms,Door,LightThreshold,Status,Temperature,Device,PostActivity,Resource,InteractAgentStatus,UrgencyType,UrgencyValue,Effect
P28,Wudhu1,5,0,0,0,0;1,-1;507.047,0;9,1;9,-1;1216.92,0;3,0;7,1.3098;50.296,30;54,0;0;0.083,0:05,5:00,0,2,10,10,1,10,10,1|1,-,-,-,0,S10-C,A82,-,RDP01|NONE,-|-,50;L1|-,-|-,-|-,Faucet|-,L2;D2|-,Water:0|-,-,0,0,Room:0:0.1;Water:11:-0.089;Water:11:-0.086|-
A82,Ibadah 1,5,0,0,0,0;1,-1;507.047,0.25;9,1;9,-1;1216.92,1;3,1;7,1.3098;50.296,30;54,0.5;-0.5;0.083,0:15,5:05,0,2,10,10,1,10,10,1|1,P28,-,-,0,S10-M,-,-,RTU01|NONE,R1|-,50;L1|-,0.17|-,-|-,-|-,-|-,-|-,-,0,0,Room:0:0.1|-
A03,Mematikan lampu luar di pagi hari,3,0,0,0,1;0,-1;1183.115,0.25;8,1;4,-1;1216.92,1;2,1;2,1.3098;50.296,30;48,0;-0.25;0.083,0:03,5:00,0,2,5,8,1,8,7,1|1,A57,-,-,0,S27-M,-,-,RTM01|NONE,-|-,-|-,-|-,-|-,-|-,-|-,-|-,-,7,-,Room:0:0.1|-
A24,Memasak makan pagi dengan kompor gas,-1,0,0,0,0;1,-2.5;1183.115,0.25;8,1;4,-2.5;1216.92,1.5;2,1;2,1.3098;50.296,15;48,0.25;-0.5;0.083,1:00,5:00,0,6.5,10,6,1,10,7.5,1|1,-,agen01;agen03;agen04;agen05;agen06,-,0,-,-,-,RDP01|NONE,-|-,20;L1|-,1.67|-,-|-,Stove|-,D2|-,Gas:0;Water:12;RawFood:6|-,Hunger;6,3,Hunger;1.2,Room:0:0.1;Water:0:-10;Gas:11:-0.246;DirtyUtensil:0:1;RawFood:0:6;Food:4:12|-
A22,Memasak makan pagi dengan rice cooker,5,1,0,0,0;1,-2;1183.115,0.25;8,1;4,-2;1216.92,1.5;2,1;2,1.3098;50.296,22.5;48,0.25;-0.5;0.083,0:30,6:00,0,6.5,10,10,1,10,10,1|1,-,agen01;agen03;agen04;agen05;agen06,-,0,S25-C,A72,-,RSL01|NONE,-|-,20;L1|-,1.67|-,-|-,RCooker|-,-|-,Water:12;RawFood:3|-,Hunger;6,3,Hunger;1.2,Room:0:0.1;Water:0:-12;RC02:1:0.4;RawFood:0:-3;Food:4:6|-
A172,Menghangatkan makanan pagi,-1,0,0,0,0;1,-2.5;1183.115,0.25;8,1;4,-2.5;1216.92,1.5;6,1;2,1.3098;50.296,15;48,0.25;-0.5;0.083,0:15,6:00,0,6.5,10,10,1,10,10,1|1,-,-,-,0,-,-,-,RDP02|NONE,-|-,20;L1|-,1.67|-,-|-,Stove|-,D2|-,Gas:0;Food:6|-,-,3,Hunger;1.2,Room:0:0.1;Gas:11:-0.26;DirtyUtensil:0:1;Food:4:6|-
A113,Menggunakan blender bumbu,5,0,0,0,0;1,-2.5;1352.132,0.25;8,1;2,-2.5;608.46,1.5;1,1;3,1.3098;50.296,15;36,0.25;-0.5;0.083,0:10,6:00,0,5.5,10,10,1,10,10,1|1,-,-,-,0,-,-,-,RSL01|NONE,-|-,20;L1|-,1.67|-,-|-,Blender|-,D2|-,Water:3;RawFood:12|-,-,3,Hunger;1.2,Room:0:0.1;DirtyUtensil:0:1;RawFood:0:9|-
A05,Menyapu Ruang Tidur Utama 1 pagi,3,0,0,0,1;0,-3.3;507.047,1;9,1.75;9,-3.3;1216.92,1.5;3,1;7,1.3098;50.296,7.5;54,0.25;-0.25;0.083,0:06,6:00,0,5.5,10,10,1,10,10,7|6;7,-,-,-,0,S01-M,A83,-,RTU01|NONE,R1|-,20;L1|-,5|-,-|-,-|-,-|-,-|-,-,8,-,Room:0:-1|-
A83,Menyapu Ruang Tidur Anak 1 pagi,3,0,0,0,1;0,-3.3;507.047,1;9,1.75;9,-3.3;1216.92,1.5;3,1;7,1.3098;50.296,7.5;54,0.25;-0.25;0.083,0:04,6:12,0,5.5,10,10,1,10,10,7|6;7,-,-,-,0,S01-M,A84,-,RTA01|NONE,R1|-,20;L1|-,5|-,-|-,-|-,-|-,-|-,-,8,-,Room:0:-1|-
A84,Menyapu Ruang Tidur Anak 2 pagi,3,0,0,0,1;0,-3.3;507.047,1;9,1.75;9,-3.3;1216.92,1.5;3,1;7,1.3098;50.296,7.5;54,0.25;-0.25;0.083,0:04,6:16,0,5.5,10,10,1,10,10,7|6;7,-,-,-,0,S01-M,A85,-,RTA02|NONE,R1|-,20;L1|-,5|-,-|-,-|-,-|-,-|-,-,8,-,Room:0:-1|-
A85,Menyapu Ruang Tidur Anak 3 pagi,3,0,0,0,1;0,-3.3;507.047,1;9,1.75;9,-3.3;1216.92,1.5;3,1;7,1.3098;50.296,7.5;54,0.25;-0.25;0.083,0:04,6:20,0,5.5,10,10,1,10,10,7|6;7,-,-,-,0,S01-M,A86,-,RTA03|NONE,R1|-,20;L1|-,5|-,-|-,-|-,-|-,-|-,-,8,-,Room:0:-1|-
A86,Menyapu Ruang Tidur Tamu pagi,3,0,0,0,1;0,-3.3;507.047,1;9,1.75;9,-3.3;1216.92,1.5;3,1;7,1.3098;50.296,7.5;54,0.25;-0.25;0.083,0:04,6:24,0,5.5,10,10,1,10,10,7|6;7,-,-,-,0,S01-M,A87,-,RTD01|NONE,R1|-,20;L1|-,5|-,-|-,-|-,-|-,-|-,-,8,-,Room:0:-1|-
A87,Menyapu Selasar Lt. 2 pagi,3,0,0,0,1;0,-3.3;507.047,1;9,1.75;9,-3.3;1216.92,1.5;3,1;7,1.3098;50.296,7.5;54,0.25;-0.25;0.083,0:05,6:28,0,5.5,10,10,1,10,10,7|6;7,-,-,-,0,S01-M,A09,-,RSL02|NONE,-|-,20;L1|-,5|-,-|-,-|-,-|-,-|-,-,8,-,Room:0:-1|-
A09,Menyapu Dapur Kotor pagi,3,0,0,0,1;0,-3.3;507.047,1;9,1.75;9,-3.3;1216.92,1.5;3,1;7,1.3098;50.296,7.5;54,0.25;-0.25;0.083,0:05,6:33,0,5.5,10,10,1,10,10,7|6;7,-,-,-,0,S01-M,A88,-,RDP01|NONE,-|-,20;L1|-,5|-,-|-,-|-,-|-,-|-,-,8,-,Room:0:-1|-
A88,Menyapu Selasar Lt. 1 pagi,3,0,0,0,1;0,-3.3;507.047,1;9,1.75;9,-3.3;1216.92,1.5;3,1;7,1.3098;50.296,7.5;54,0.25;-0.25;0.083,0:02,6:38,0,5.5,10,10,1,10,10,7|6;7,-,-,-,0,S01-M,A10,-,RSL01|NONE,-|-,20;L1|-,5|-,-|-,-|-,-|-,-|-,-,8,-,Room:0:-1|-
A10,Menyapu Dapur Bersih pagi,3,0,0,0,1;0,-3.3;507.047,1;9,1.75;9,-3.3;1216.92,1.5;3,1;7,1.3098;50.296,7.5;54,0.25;-0.25;0.083,0:04,6:40,0,5.5,10,10,1,10,10,7|6;7,-,-,-,0,S01-M,A89,-,RDP02|NONE,-|-,20;L1|-,5|-,-|-,-|-,-|-,-|-,-,8,-,Room:0:-1|-
A89,Menyapu Ruang Makan pagi,3,0,0,0,1;0,-3.3;507.047,1;9,1.75;9,-3.3;1216.92,1.5;3,1;7,1.3098;50.296,7.5;54,0.25;-0.25;0.083,0:04,6:44,0,5.5,10,10,1,10,10,7|6;7,-,-,-,0,S01-M,A90,-,RMK01|NONE,-|-,20;L1|-,5|-,-|-,-|-,-|-,-|-,-,8,-,Room:0:-1|-
A90,Menyapu Ruang Keluarga 2 pagi,3,0,0,0,1;0,-3.3;507.047,1;9,1.75;9,-3.3;1216.92,1.5;3,1;7,1.3098;50.296,7.5;54,0.25;-0.25;0.083,0:05,6:48,0,5.5,10,10,1,10,10,7|6;7,-,-,-,0,S01-M,A91,-,RKG02|NONE,-|-,20;L1|-,5|-,-|-,-|-,-|-,-|-,-,8,-,Room:0:-1|-
A91,Menyapu Ruang Santai pagi,3,0,0,0,1;0,-3.3;507.047,1;9,1.75;9,-3.3;1216.92,1.5;3,1;7,1.3098;50.296,7.5;54,0.25;-0.25;0.083,0:02,6:53,0,5.5,10,10,1,10,10,7|6;7,-,-,-,0,S01-M,A11,-,RST01|NONE,-|-,20;L1|-,5|-,-|-,-|-,-|-,-|-,-,8,-,Room:0:-1|-
A11,Menyapu Ruang Keluarga 1 pagi,3,0,0,0,1;0,-3.3;507.047,1;9,1.75;9,-3.3;1216.92,1.5;3,1;7,1.3098;50.296,7.5;54,0.25;-0.25;0.083,0:08,6:55,0,5.5,10,10,1,10,10,7|6;7,-,-,-,0,S01-M,A121,-,RKG01|NONE,-|-,20;L1|-,5|-,-|-,-|-,-|-,-|-,-,8,-,Room:0:-1|-
A121,Menyapu Ruang Akuarium 1 pagi,3,0,0,0,1;0,-3.3;507.047,1;9,1.75;9,-3.3;1216.92,1.5;3,1;7,1.3098;50.296,7.5;54,0.25;-0.25;0.083,0:05,7:03,0,5.5,10,10,1,10,10,7|6;7,-,-,-,0,S01-M,A12,-,RAK01|NONE,-|-,20;L1|-,5|-,-|-,-|-,-|-,-|-,-,8,-,Room:0:-1|-
A12,Menyapu Ruang Tamu 1 pagi,3,0,0,0,1;0,-3.3;507.047,1;9,1.75;9,-3.3;1216.92,1.5;3,1;7,1.3098;50.296,7.5;54,0.25;-0.25;0.083,0:05,7:08,0,5.5,10,10,1,10,10,7|6;7,-,-,-,0,S01-M,A92,-,RTM01|NONE,-|-,20;L1|-,5|-,-|-,-|-,-|-,-|-,-,8,-,Room:0:-1|-
A92,Menyapu Ruang Tamu 2 pagi,3,0,0,0,1;0,-3.3;507.047,1;9,1.75;9,-3.3;1216.92,1.5;3,1;7,1.3098;50.296,7.5;54,0.25;-0.25;0.083,0:05,7:13,0,5.5,10,10,1,10,10,7|6;7,-,-,-,0,S01-M,A13,-,RTM02|NONE,-|-,20;L1|-,5|-,-|-,-|-,-|-,-|-,-,8,-,Room:0:-1|-
A13,Menyapu Teras 1 dan 2 pagi,3,0,0,0,1;0,-3.3;507.047,1;9,1.75;9,-3.3;1216.92,1.5;3,1;7,1.3098;50.296,7.5;54,0.25;-0.25;0.083,0:02,7:18,0,5.5,10,10,1,10,10,7|6;7,-,-,-,0,S01-M,A80,-,RTS01|RTS02,R1|R1,20;CC|20;CC,5|5,-|-,-|-,-|-,-|-,-,8,-,Room:0:-1|-
A80,Menyapu Halaman Depan pagi,3,0,0,0,1;0,-3.3;507.047,1;9,1.75;9,-3.3;1216.92,1.5;3,1;7,1.3098;50.296,7.5;54,0.25;-0.25;0.083,0:06,7:20,0,5.5,10,10,1,10,10,7|6;7,-,-,-,0,S01-M,A14,-,RHD01|RHD02,R1|R1,20;CC|20;CC,5|-,-|-,-|-,-|-,-|-,-,8,-,Room:0:-1|-
A14,Mengepel Ruang Tidur Utama 1 pagi,3,0,0,0,1;0,-3.5;507.047,1;9,1.75;9,-3.5;1216.92,1.5;3,1;7,1.3098;50.296,7.5;54,0.25;-0.25;0.083,0:04,7:26,0,5,10,10,1,10,10,7|6;7,A05,-,-,0,S01-M,A93,-,RTU01|NONE,R1|-,20;L1|-,5|-,-|-,-|-,D2|-,Water:5|-,-,8,-,Room:5:0;Water:0:-5|-
A93,Mengepel Ruang Tidur Anak 1 pagi,3,0,0,0,1;0,-3.5;507.047,1;9,1.75;9,-3.5;1216.92,1.5;3,1;7,1.3098;50.296,7.5;54,0.25;-0.25;0.083,0:02,7:34,0,5,10,10,1,10,10,7|6;7,A83,-,-,0,S01-M,A94,-,RTA01|NONE,R1|-,20;L1|-,5|-,-|-,-|-,D2|-,Water:5|-,-,8,-,Room:5:0;Water:0:-5|-
A94,Mengepel Ruang Tidur Anak 2 pagi,3,0,0,0,1;0,-3.5;507.047,1;9,1.75;9,-3.5;1216.92,1.5;3,1;7,1.3098;50.296,7.5;54,0.25;-0.25;0.083,0:02,7:36,0,5,10,10,1,10,10,7|6;7,A84,-,-,0,S01-M,A95,-,RTA02|NONE,R1|-,20;L1|-,5|-,-|-,-|-,D2|-,Water:5|-,-,8,-,Room:5:0;Water:0:-5|-
A95,Mengepel Ruang Tidur Anak 3 pagi,3,0,0,0,1;0,-3.5;507.047,1;9,1.75;9,-3.5;1216.92,1.5;3,1;7,1.3098;50.296,7.5;54,0.25;-0.25;0.083,0:02,7:38,0,5,10,10,1,10,10,7|6;7,A85,-,-,0,S01-M,A96,-,RTA03|NONE,R1|-,20;L1|-,5|-,-|-,-|-,D2|-,Water:5|-,-,8,-,Room:5:0;Water:0:-5|-
A96,Mengepel Ruang Tidur Tamu pagi,3,0,0,0,1;0,-3.5;507.047,1;9,1.75;9,-3.5;1216.92,1.5;3,1;7,1.3098;50.296,7.5;54,0.25;-0.25;0.083,0:02,7:40,0,5,10,10,1,10,10,7|6;7,A86,-,-,0,S01-M,A97,-,RTD01|NONE,R1|-,20;L1|-,5|-,-|-,-|-,D2|-,Water:5|-,-,8,-,Room:5:0;Water:0:-5|-
A97,Mengepel Selasar Lt. 2 pagi,3,0,0,0,1;0,-3.5;507.047,1;9,1.75;9,-3.5;1216.92,1.5;3,1;7,1.3098;50.296,7.5;54,0.25;-0.25;0.083,0:04,7:42,0,5,10,10,1,10,10,7|6;7,A87,-,-,0,S01-M,A20,-,RSL02|NONE,-|-,20;L1|-,5|-,-|-,-|-,-|-,Water:5|-,-,8,-,Room:5:0;Water:0:-5|-
A20,Mengepel Ruang Tamu 1 pagi,3,0,0,0,1;0,-3.5;507.047,1;9,1.75;9,-3.5;1216.92,1.5;3,1;7,1.3098;50.296,7.5;54,0.25;-0.25;0.083,0:03,7:46,0,5,10,10,1,10,10,7|6;7,A12,-,-,0,S01-M,A98,-,RTM01|NONE,-|-,20;L1|-,5|-,-|-,-|-,-|-,Water:5|-,-,8,-,Room:5:0;Water:0:-5|-
A98,Mengepel Ruang Tamu 2 pagi,3,0,0,0,1;0,-3.5;507.047,1;9,1.75;9,-3.5;1216.92,1.5;3,1;7,1.3098;50.296,7.5;54,0.25;-0.25;0.083,0:03,7:49,0,5,10,10,1,10,10,7|6;7,A92,-,-,0,S01-M,A19,-,RTM02|NONE,-|-,20;L1|-,5|-,-|-,-|-,-|-,Water:5|-,-,8,-,Room:5:0;Water:0:-5|-
A19,Mengepel Ruang Keluarga 1 pagi,3,0,0,0,1;0,-3.5;507.047,1;9,1.75;9,-3.5;1216.92,1.5;3,1;7,1.3098;50.296,7.5;54,0.25;-0.25;0.083,0:05,7:52,0,5,10,10,1,10,10,7|6;7,A11,-,-,0,S01-M,A77,-,RKG01|NONE,-|-,20;L1|-,5|-,-|-,-|-,-|-,Water:5|-,-,8,-,Room:5:0;Water:0:-5|-
A77,Mengepel Ruang Akuarium 1 pagi,3,0,0,0,1;0,-3.5;507.047,1;9,1.75;9,-3.5;1216.92,1.5;3,1;7,1.3098;50.296,7.5;54,0.25;-0.25;0.083,0:05,7:52,0,5,10,10,1,10,10,7|6;7,A11,-,-,0,S01-M,A99,-,RAK01|NONE,-|-,20;L1|-,5|-,-|-,-|-,-|-,Water:5|-,-,8,-,Room:5:0;Water:0:-5|-
A99,Mengepel Ruang Keluarga 2 pagi,3,0,0,0,1;0,-3.5;507.047,1;9,1.75;9,-3.5;1216.92,1.5;3,1;7,1.3098;50.296,7.5;54,0.25;-0.25;0.083,0:04,7:57,0,5,10,10,1,10,10,7|6;7,A90,-,-,0,S01-M,A100,-,RKG02|NONE,-|-,20;L1|-,5|-,-|-,-|-,-|-,Water:5|-,-,8,-,Room:5:0;Water:0:-5|-
A100,Mengepel Ruang Santai pagi,3,0,0,0,1;0,-3.5;507.047,1;9,1.75;9,-3.5;1216.92,1.5;3,1;7,1.3098;50.296,7.5;54,0.25;-0.25;0.083,0:01,8:01,0,5,10,10,1,10,10,7|6;7,A91,-,-,0,S01-M,A101,-,RST01|NONE,-|-,20;L1|-,5|-,-|-,-|-,-|-,Water:5|-,-,8,-,Room:5:0;Water:0:-5|-
A101,Mengepel Ruang Makan pagi,3,0,0,0,1;0,-3.5;507.047,1;9,1.75;9,-3.5;1216.92,1.5;3,1;7,1.3098;50.296,7.5;54,0.25;-0.25;0.083,0:02,8:02,0,5,10,10,1,10,10,7|6;7,A89,-,-,0,S01-M,A18,-,RMK01|NONE,-|-,20;L1|-,5|-,-|-,-|-,-|-,Water:5|-,-,8,-,Room:5:0;Water:0:-5|-
A18,Mengepel Dapur Bersih pagi,3,0,0,0,1;0,-3.5;507.047,1;9,1.75;9,-3.5;1216.92,1.5;3,1;7,1.3098;50.296,7.5;54,0.25;-0.25;0.083,0:02,8:04,0,5,10,10,1,10,10,7|6;7,A10,-,-,0,S01-M,A102,-,RDP02|NONE,-|-,20;L1|-,5|-,-|-,-|-,-|-,Water:5|-,-,8,-,Room:5:0;Water:0:-5|-
A102,Mengepel Selasar Lt. 1 pagi,3,0,0,0,1;0,-3.5;507.047,1;9,1.75;9,-3.5;1216.92,1.5;3,1;7,1.3098;50.296,7.5;54,0.25;-0.25;0.083,0:01,8:06,0,5,10,10,1,10,10,7|6;7,A88,-,-,0,S01-M,A17,-,RSL01|NONE,-|-,20;L1|-,5|-,-|-,-|-,-|-,Water:5|-,-,8,-,Room:5:0;Water:0:-5|-
A17,Mengepel Dapur Kotor pagi,3,0,0,0,1;0,-3.5;507.047,1;9,1.75;9,-3.5;1216.92,1.5;3,1;7,1.3098;50.296,7.5;54,0.25;-0.25;0.083,0:03,8:07,0,5,10,10,1,10,10,7|6;7,A09,-,-,0,S01-M,A21,-,RDP01|NONE,-|-,20;L1|-,5|-,-|-,-|-,-|-,Water:5|-,-,8,-,Room:5:0;Water:0:-5|-
A21,Mengepel Teras pagi,3,0,0,0,1;0,-3.5;507.047,1;9,1.75;9,-3.5;1216.92,1.5;3,1;7,1.3098;50.296,7.5;54,0.25;-0.25;0.083,0:01,8:10,0,5,10,10,1,10,10,7|6;7,A13,-,-,0,S01-M,-,-,RTS01|RTS02,R1|R1,20;L1|20;L1,5|5,-|-,-|-,D2|-,Water:5|-,-,8,-,Room:5:0;Water:0:-5|-
A104,Membuat jus,5,0,0,0,0;1,-2.5;507.047,0.25;9,1.75;9,-2.5;1216.92,1.5;3,1;3,1.3098;50.296,15;54,0.25;-0.5;0.083,0:10,7:00,0,3,10,10,1,10,10,1|1,-,agen01;agen03;agen04;agen05;agen06,-,0,-,-,-,RSL01|NONE,-|-,20;L1|-,1.67|-,-|-,Blender|-,E2;L2|-,RawFood:3;Water:3;DrinkWater:6000|-,Thirst;5,3,Thirst;1.6,Room:0:0.1;Water:0:-3;DrinkWater:4:6000;DirtyUtensil:0:1|-
A122,Makan bersama keluarga pagi,4,0,0,0,0;1,-1.5;507.047,0.25;9,1.75;9,-1.5;1216.92,1;3,1;7,1.3098;50.296,30;54,0;0;0.083,0:30,7:00,0,3,10,10,1.167,10,10,1|1,A119,agen01;agen04;agen06,-,0,-,-,A158,RMK01|NONE,-|-,20;L1|-,-|-,-|-,Chair|-,L2;D2|-,Food:10|-,Hunger;7,3,Hunger;1.2,Room:0:0.1;Water:11:-0.083;Water:0:-2;Food:0:-2;DirtyUtensil:0:1|-
A123,Menggunakan toaster,1,1,0,0,0;1,-2;1183.115,0.25;8,1.75;4,-2;1216.92,1.5;2,1;2,1.3098;50.296,30;48,0.25;-0.5;0.083,0:10,7:00,0,3,10,6,1,10,10,1|1,-,agen01;agen04;agen06,-,0,-,-,A158,RMK01|NONE,-|-,20;L1|-,-|-,-|-,Chair|-,-|-,Food:10|-,Hunger;7,3,Hunger;1.2,Room:0:0.1;DirtyUtensil:0:1;RawFood:0:-6;Food:4:6|-
P11,Menyiapkan air mandi pagi,5,0,0,0,0;1,-2;507.047,0;9,1.75;9,-2;1419.74,0;5,0;5,0;50.296,30;54,0;0;0.083,0:03,8:00,0,3,10,10,1,10,5,1|1,-,agen06,-,0,S05-C,P26,-,RDP01|NONE,-|-,-|-,-|-,-|-,Faucet|-,D2|-,Water:60|-,Dirty;8,5,Water,Room:0:0.1;Water:0:-60;Water:6:-0.175|-
P26,Mencari agen06 mandi pagi,1,0,0,0,1;0,-2;507.047,0;9,1.75;9,-2;1419.74,0;5,0;5,0;50.296,30;54,0;0;0.083,0:03,8:00,0,3,10,10,1,10,5,1|1,P11,agen06,-,0,S05-C,P27,-,-,-|-,-|-,-|-,-|-,-|-,-|-,-|-,Dirty;8,4,Dirty;1.2,Room:0:0.1|-
P27,Membawa agen06 mandi pagi,1,0,0,0,1;0,-2.5;507.047,0.25;9,1.75;9,-2.5;811.28,1;3,1;7,1.3098;50.296,15;54,0;0;0.083,0:03,8:03,0,3,10,10,1,10,5,1|1,P26,agen06,P13,1,S05-C,A159,-,RDP01|NONE,-|-,20;L1|-,-|-,-|-,-|-,-|-,-|-,Dirty;8,4,Dirty;1.2,Room:0:0.1|-
A159,Memandikan agen06 pagi hari,1,0,0,0,0;0,-1.5;1352.132,1;8,1.75;2,-1.5;811.28,1.5;1,1;3,1.3098;50.296,22.5;36,0.5;0;0.333,0:15,8:06,0,3,10,10,1,10,5,1|1,P27,agen06,B07,0,S05-M,-,-,RDP01|NONE,-|-,20;L1|-,-|-,-|-,Faucet|-,D2|-,Water:0|-,Dirty;8,9,Water,Room:0:0.1;Water:11:-0.086;Water:11:-0.089;Water:0:-60|-
A34,Berkebun (menanam/merawat) pagi hari,1,0,0,0,1;0,-2.3;1183.115,1;5,1.75;5,-2.3;1216.92,1.5;3,1;6,1.3098;31.435,15;30,0.25;-0.25;0.083,0:20,8:00,0,3.5,10,10,1,10,7.5,1|1,-,-,-,0,-,-,-,RTS01|RTS02,R1|R1,20;L1|20;L1,1.67|1.67,-|-,-|-,D2;R2|D2;R2,Water:0|Water:0,-,8,-,Room:0:0.1;Water:11:-0.083|Room:0:0.1;Water:11:-0.083
