Day,Hour,RDP02,RTA01,RTA02,RTU01,RKM02,RSL01,RST01,RKG01,RTM01,RTM02,RDP01,RKG02,RMK01,RKM01,RTA03,RTD01,RSL02,RKM03,RKM04
1,0,27.48,26.61,27.35,26.55,27.44,27.52,27.52,26.74,26.36,26.64,27.08,27.42,27.8,27.13,28.39,28.43,28.26,28.43,29.63
1,1,27.29,26.43,27.21,26.37,27.29,27.35,27.35,26.56,26.17,26.45,26.89,27.25,27.67,26.92,28.13,28.15,28,28.18,29.46
1,2,27.1,26.25,27.07,26.19,27.14,27.17,27.17,26.37,25.98,26.26,26.71,27.08,27.54,26.71,27.87,27.87,27.72,27.92,29.29
1,3,26.91,26.07,26.93,26.02,26.99,27,27,26.19,25.8,26.07,26.53,26.91,27.4,26.52,27.62,27.6,27.46,27.68,29.1
1,4,26.73,25.89,26.79,25.84,26.83,26.83,26.83,26.02,25.62,25.89,26.35,26.74,27.27,26.32,27.36,27.34,27.21,27.43,28.91
1,5,26.57,25.75,26.66,25.7,26.69,26.69,26.69,25.87,25.51,25.74,26.23,26.59,27.14,26.22,27.14,27.12,27.03,27.21,28.72
1,6,26.6,25.83,26.65,25.81,26.7,26.7,26.7,26.01,25.93,25.92,26.34,26.57,27.04,26.55,27.23,27.21,27.6,27.24,28.73
1,7,26.88,26.18,26.77,26.2,26.88,26.99,26.99,26.54,26.85,26.43,26.8,26.81,27,27.05,27.75,27.62,28.28,27.7,28.95
1,8,27.34,26.69,26.99,26.76,27.2,27.54,27.54,27.35,28.15,27.24,27.58,27.32,27.06,28.47,28.57,28.27,29.07,28.45,29.29
1,9,28.04,27.39,27.37,27.56,27.67,28.24,28.24,28.38,29.46,28.25,28.46,28,27.22,30.49,29.66,29.2,30.11,29.37,29.74
1,10,28.82,28.11,27.81,28.41,28.21,29.21,29.21,29.5,30.99,29.32,29.67,28.93,27.46,32.37,30.72,30.22,31.22,30.23,30.25
1,11,29.48,28.69,28.2,29.09,28.69,29.79,29.79,30.24,31.5,30.06,30.2,29.51,27.75,32.92,31.53,31.05,32.08,30.89,30.69
1,12,29.98,29.07,28.5,29.56,29.06,30.25,30.25,30.71,31.98,30.5,30.66,29.98,28.05,33.54,32.07,31.64,32.61,31.36,31.01
1,13,30.04,29.05,28.58,29.49,29.09,30.01,30.01,30.48,30.71,30.34,30,29.82,28.31,31.95,32.02,31.62,32.33,31.39,31.03
1,14,29.57,28.57,28.39,28.83,28.75,29.48,29.48,29.53,29.38,29.47,29.43,29.39,28.46,30.36,31.33,31.02,31.45,30.94,30.71
1,15,29.35,28.34,28.32,28.52,28.63,29.33,29.33,29.19,29.23,29.13,29.26,29.24,28.52,30.27,31,30.84,31.11,30.73,30.65
1,16,29.36,28.33,28.35,28.51,28.68,29.21,29.21,29.08,28.98,29.01,29.02,29.11,28.56,30.33,30.99,31.04,31.09,30.7,30.77
1,17,29.18,28.14,28.28,28.25,28.55,28.93,28.93,28.7,28.31,28.63,28.66,28.86,28.56,29.43,30.73,30.88,30.75,30.49,30.72
1,18,28.86,27.82,28.13,27.85,28.33,28.63,28.63,28.18,27.73,28.13,28.33,28.59,28.51,28.7,30.27,30.51,30.26,30.14,30.53
1,19,28.56,27.58,28,27.56,28.17,28.43,28.43,27.85,27.43,27.8,28.09,28.38,28.42,28.31,29.85,30.09,29.82,29.8,30.37
1,20,28.31,27.37,27.88,27.33,28.01,28.25,28.25,27.6,27.18,27.54,27.88,28.19,28.3,28.02,29.51,29.7,29.45,29.49,30.24
1,21,28.08,27.16,27.75,27.11,27.87,28.06,28.06,27.36,26.96,27.29,27.67,27.99,28.19,27.78,29.21,29.35,29.12,29.22,30.11
1,22,27.87,26.97,27.62,26.91,27.73,27.88,27.88,27.15,26.76,27.06,27.46,27.8,28.07,27.56,28.93,29.03,28.83,28.95,29.97
1,23,27.67,26.78,27.49,26.72,27.59,27.7,27.7,26.94,26.55,26.85,27.26,27.61,27.94,27.34,28.67,28.73,28.54,28.7,29.83
2,0,27.48,26.59,27.35,26.54,27.44,27.52,27.52,26.74,26.36,26.64,27.07,27.42,27.8,27.13,28.4,28.43,28.26,28.44,29.67
2,1,27.29,26.4,27.21,26.35,27.29,27.34,27.34,26.55,26.17,26.44,26.88,27.24,27.67,26.93,28.14,28.15,28,28.18,29.5
2,2,27.11,26.23,27.07,26.18,27.14,27.17,27.17,26.37,25.99,26.25,26.71,27.07,27.53,26.74,27.89,27.88,27.74,27.94,29.33
2,3,26.93,26.06,26.93,26.02,27,27,27,26.2,25.82,26.07,26.54,26.9,27.4,26.57,27.65,27.63,27.5,27.7,29.15
2,4,26.77,25.9,26.8,25.87,26.85,26.85,26.85,26.05,25.68,25.91,26.39,26.74,27.27,26.42,27.42,27.39,27.27,27.47,28.98
2,5,26.63,25.78,26.68,25.76,26.73,26.72,26.72,25.93,25.61,25.79,26.29,26.61,27.14,26.37,27.22,27.2,27.11,27.27,28.81
2,6,26.63,25.8,26.63,25.81,26.71,26.71,26.71,25.99,25.9,25.85,26.37,26.58,27.04,26.68,27.21,27.22,27.33,27.21,28.76
2,7,26.83,26.03,26.69,26.09,26.83,26.93,26.93,26.36,26.64,26.22,26.74,26.76,27.01,27.22,27.5,27.51,27.88,27.42,28.89
2,8,27.23,26.44,26.87,26.58,27.08,27.34,27.34,27.01,27.59,26.85,27.3,27.15,27.07,28.32,28.1,28.06,28.57,27.91,29.13
2,9,27.78,26.95,27.12,27.18,27.42,27.85,27.85,27.76,28.59,27.59,27.97,27.66,27.22,29.7,28.87,28.76,29.39,28.54,29.42
2,10,28.34,27.45,27.41,27.76,27.77,28.33,28.33,28.43,29.36,28.26,28.55,28.15,27.44,30.62,29.63,29.53,30.22,29.16,29.74
2,11,28.83,27.86,27.68,28.24,28.09,28.74,28.74,28.92,29.89,28.75,29.05,28.58,27.73,31.27,30.25,30.2,30.9,29.68,30.02
2,12,29.3,28.24,27.94,28.69,28.4,29.12,29.12,29.36,30.34,29.19,29.47,28.99,28.04,31.85,30.83,30.81,31.5,30.18,30.31
2,13,29.73,28.58,28.19,29.06,28.69,29.45,29.45,29.73,30.62,29.57,29.77,29.34,28.34,32.19,31.32,31.35,31.97,30.62,30.59
2,14,29.95,28.73,28.34,29.18,28.83,29.61,29.61,29.88,30.45,29.76,29.83,29.55,28.61,31.86,31.54,31.67,32.12,30.86,30.75
