ID,Description,Duration
S8,Mematikan lampu ,1
S9,Mematikan AC/kipas,5
S10,Mematikan setrika ,1
S11,Mematikan TV ,1
S12,Mematikan radio ,1
S13,Mematikan komputer/laptop,1
J3,Keluar dari ruang,1
O9,Mematikan kran air ,1
O10,Mematikan pompa air ,1
O11,Menyimpan peralatan berkebun ,1
O12,Menyimpan peralatan kerja ,1
O13,Menyimpan peralatan les ,1
O14,Meletakkan pakaian kotor ,1
O15,Mengambil pakaian bersih,1
O18,Menyimpan peralatan bersih rumah ,2
G9,Mengganti Gas,5
G10,Menutup pintu,1
G11,Mematikan Kompor,1
G12,Mengambil makanan,5
G13,Mematikan printer,2
G14,"Mematikan rice cooker, microwave, oven",1
G15,Mematikan dispenser,1
K2,Bangun dari duduk di kursi,1
Sf2,Bangun dari duduk di sofa,1
Kr2,Bangun dari duduk di karpet,1
Kk2,Menutup kulkas,1
T4,Bangun dari tempat tidur,10
B2,Pulang belanja,10
B4,Mematikan blender,1
