ID,Description,Duration
S1,Menghidupkan lampu ,1
S2,Menghidupkan AC/kipas,5
S3,Menghidupkan setrika ,1
S4,Menghidupkan TV ,1
S5,Menghidupkan radio ,1
S6,Menghidupkan komputer/laptop,1
S7,Menghidupkan mesin cuci,30
J1,Berjalan ke ruang ,1
J2,Masuk ke ruang ,1
I1,Mengisi bahan bakar ,5
O1,Menghidupkan kran air ,1
O2,Menghidupkan pompa air ,1
O3,Mengambil peralatan berkebun ,1
O4,Menyiapkan peralatan kerja ,10
O5,Menyiapkan peralatan les ,10
O6,Meletakkan pakaian kotor ,1
O7,Mengambil pakaian bersih,1
O8,Mengambil peralatan bersih rumah ,2
G1,Membeli gas,20
G2,Membuka pintu,1
G3,Menghidupkan Kompor,1
G4,Memasak bahan makanan,30
G5,Mengambil makanan,5
G6,Menghidupkan printer,2
G7,"Menghidupkan rice cooker, microwave, oven",1
G8,Menghidupkan dispenser,1
G9,Mengganti galon,5
K1,Duduk di kursi,1
Sf1,Duduk di sofa,1
Kr1,Duduk di karpet,1
Kk1,Membuka kulkas,1
T1,Membereskan tempat tidur ,2
T2,Berbaring di tempat tidur,3
T3,Menjamu tamu ,5
B1,Berangkat belanja,10
B3,Menghidupkan blender,1
